"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 04, 2022","0.5556","0.5602","0.5679","0.5464","183.84M","-0.81%"
"Jun 03, 2022","0.5602","0.5881","0.6047","0.5396","259.98M","-4.75%"
"Jun 02, 2022","0.5881","0.5517","0.5965","0.5496","375.09M","6.65%"
"Jun 01, 2022","0.5514","0.6255","0.6310","0.5385","434.11M","-11.83%"
"May 31, 2022","0.6255","0.5699","0.6857","0.5680","805.39M","9.83%"
"May 30, 2022","0.5695","0.4820","0.5773","0.4773","319.35M","18.16%"
"May 29, 2022","0.4820","0.4646","0.4825","0.4564","116.26M","3.79%"
"May 28, 2022","0.4644","0.4553","0.4683","0.4482","128.49M","2.00%"
"May 27, 2022","0.4553","0.4791","0.4836","0.4456","317.04M","-4.96%"
"May 26, 2022","0.4790","0.5145","0.5208","0.4631","290.25M","-6.90%"
"May 25, 2022","0.5145","0.5219","0.5322","0.5073","162.29M","-1.41%"
"May 24, 2022","0.5219","0.5128","0.5249","0.4936","199.56M","1.79%"
"May 23, 2022","0.5127","0.5418","0.5585","0.5053","221.82M","-5.36%"
"May 22, 2022","0.5418","0.5286","0.5486","0.5222","127.81M","2.50%"
"May 21, 2022","0.5286","0.5163","0.5385","0.5092","109.60M","2.37%"
"May 20, 2022","0.5163","0.5331","0.5447","0.5021","210.56M","-3.15%"
"May 19, 2022","0.5331","0.5044","0.5462","0.4919","269.92M","5.68%"
"May 18, 2022","0.5044","0.5777","0.5859","0.5036","283.31M","-12.67%"
"May 17, 2022","0.5777","0.5564","0.5988","0.5519","262.66M","3.82%"
"May 16, 2022","0.5564","0.5979","0.6123","0.5447","380.70M","-6.94%"
"May 15, 2022","0.5979","0.5378","0.5989","0.5151","279.39M","11.17%"
"May 14, 2022","0.5378","0.5294","0.5566","0.4895","334.62M","1.57%"
"May 13, 2022","0.5295","0.4725","0.6069","0.4692","656.18M","12.12%"
"May 12, 2022","0.4723","0.5155","0.5475","0.4029","1.08B","-8.38%"
"May 11, 2022","0.5155","0.6286","0.6601","0.4759","898.91M","-17.98%"
