DATE,BTC,오픈,고가,저가,거래량,변동 %
2022-05-29,29356.6,29027.1,29462.6,28838.7,35.51K,1.14%
2022-05-28,29027.1,28620.1,29194.4,28537.2,43.87K,1.49%
2022-05-27,28601.2,29194.0,29377.1,28282.2,116.41K,-2.06%
2022-05-26,29203.5,29537.9,29868.9,28077.9,126.71K,-1.14%
2022-05-25,29540.6,29648.7,30202.3,29353.5,78.85K,-0.36%
2022-05-24,29648.7,29091.6,29810.8,28706.1,79.42K,1.91%
2022-05-23,29093.3,30287.3,30644.8,28913.6,92.10K,-3.94%
2022-05-22,30286.6,29433.0,30462.0,29260.1,50.60K,2.89%
2022-05-21,29434.6,29188.7,29623.2,28953.9,32.27K,0.88%
2022-05-20,29178.6,30305.9,30735.1,28738.5,98.78K,-3.72%
2022-05-19,30305.9,28700.4,30525.1,28682.1,101.38K,5.66%
2022-05-18,28683.7,30437.5,30687.9,28648.1,92.03K,-5.76%
2022-05-17,30437.5,29856.7,30720.1,29484.5,79.63K,1.97%
2022-05-16,29849.0,31308.3,31312.4,29135.8,100.25K,-4.66%
2022-05-15,31308.7,30078.6,31383.8,29499.4,65.44K,4.08%
2022-05-14,30080.4,29285.2,30277.4,28666.7,70.46K,2.72%
2022-05-13,29284.4,28994.3,31002.7,28755.0,141.23K,1.06%
2022-05-12,28976.0,29073.4,30136.7,26500.5,309.48K,-0.32%
2022-05-11,29068.2,31008.0,32113.6,27835.5,296.90K,-6.25%
2022-05-10,31007.5,30098.2,32621.2,29831.0,235.61K,3.03%
2022-05-09,30095.0,34041.0,34227.0,30095.0,268.09K,-11.64%
2022-05-08,34060.0,35468.0,35497.0,33727.0,671.05M,-3.97%
2022-05-07,35468.0,36003.0,36119.0,34773.0,288.86M,-1.50%
2022-05-06,36009.0,36540.0,36646.0,35267.0,752.84M,-1.46%
2022-05-05,36544.0,39686.0,39833.0,36183.0,1.04B,-7.92%
2022-05-04,39688.0,37717.0,40021.0,37660.0,691.49M,5.22%
2022-05-03,37718.0,38515.0,38647.0,37513.0,367.21M,-2.07%
2022-05-02,38514.0,38472.0,39134.0,38061.0,580.79M,0.14%
2022-05-01,38461.0,37642.0,38676.0,37397.0,276.99M,2.15%
2022-04-30,37650.0,38590.0,38776.0,37596.0,248.22M,-2.41%
2022-04-29,38581.0,39748.0,39919.0,38175.0,382.90M,-2.94%
2022-04-28,39748.0,39243.0,40382.0,38888.0,542.39M,1.29%
2022-04-27,39243.0,38113.0,39447.0,37869.0,426.83M,2.96%
2022-04-26,38113.0,40443.0,40770.0,37708.0,681.47M,-5.72%
2022-04-25,40427.0,39464.0,40599.0,38233.0,654.60M,2.44%
2022-04-24,39464.0,39434.0,39929.0,39033.0,283.63M,0.12%
2022-04-23,39418.0,39709.0,39973.0,39291.0,190.60M,-0.73%
2022-04-22,39709.0,40487.0,40792.0,39200.0,421.30M,-1.91%
2022-04-21,40482.0,41370.0,42969.0,39793.0,493.05M,-2.14%
2022-04-20,41368.0,41499.0,42203.0,40915.0,382.84M,-0.33%
2022-04-19,41503.0,40809.0,41746.0,40585.0,268.28M,1.72%
2022-04-18,40803.0,39700.0,41095.0,38577.0,484.26M,2.77%
2022-04-17,39703.0,40382.0,40599.0,39561.0,210.01M,-1.68%
2022-04-16,40382.0,40571.0,40691.0,40003.0,151.31M,-0.44%
2022-04-15,40560.0,39936.0,40850.0,39781.0,233.09M,1.56%
2022-04-14,39936.0,41133.0,41494.0,39585.0,294.29M,-2.91%
2022-04-13,41133.0,40072.0,41515.0,39581.0,406.70M,2.63%
2022-04-12,40078.0,39507.0,40678.0,39265.0,468.27M,1.47%
2022-04-11,39497.0,42144.0,42418.0,39202.0,608.38M,-6.27%
2022-04-10,42138.0,42760.0,43421.0,41884.0,255.83M,-1.47%
2022-04-09,42767.0,42275.0,42809.0,42129.0,165.16M,1.16%
2022-04-08,42275.0,43450.0,43979.0,42113.0,467.83M,-2.70%
2022-04-07,43448.0,43166.0,43893.0,42747.0,390.85M,0.64%
2022-04-06,43173.0,45494.0,45519.0,43122.0,649.52M,-5.13%
2022-04-05,45506.0,46614.0,47201.0,45388.0,421.11M,-2.41%
2022-04-04,46629.0,46407.0,46899.0,45152.0,446.12M,0.48%
2022-04-03,46407.0,45813.0,47435.0,45554.0,398.86M,1.30%
2022-04-02,45811.0,46299.0,47212.0,45641.0,345.93M,-1.05%
2022-04-01,46297.0,45529.0,46728.0,44261.0,632.93M,1.70%
2022-03-31,45525.0,47071.0,47624.0,45228.0,520.00M,-3.29%
2022-03-30,47075.0,47449.0,47714.0,46601.0,467.76M,-0.79%
2022-03-29,47449.0,47126.0,48127.0,47029.0,478.82M,0.73%
2022-03-28,47105.0,46859.0,48199.0,46672.0,610.27M,0.52%
2022-03-27,46859.0,44542.0,46947.0,44445.0,388.79M,5.19%
