DATE,종가,오픈,고가,저가,거래량,변동 %
2022-05-29,304.50,307.59,308.01,299.01,569.86K,-1.01%
2022-05-28,307.59,301.45,310.26,297.10,678.02K,2.16%
2022-05-27,301.09,303.19,309.50,291.40,1.60M,-0.70%
2022-05-26,303.20,325.79,331.61,298.31,1.59M,-6.93%
2022-05-25,325.79,328.30,337.39,324.48,1.12M,-0.76%
2022-05-24,328.30,316.98,330.20,313.49,1.16M,3.57%
2022-05-23,316.98,319.31,337.00,315.49,1.08M,-0.72%
2022-05-22,319.30,312.40,323.39,311.70,673.70K,2.21%
2022-05-21,312.40,302.29,314.10,299.50,505.94K,3.35%
2022-05-20,302.28,306.99,315.86,294.39,980.10K,-1.50%
2022-05-19,306.90,287.61,308.90,287.10,724.79K,6.71%
2022-05-18,287.61,306.10,308.30,287.09,767.47K,-6.04%
2022-05-17,306.10,297.02,310.60,296.79,737.17K,3.06%
2022-05-16,297.00,312.20,312.40,290.40,1.01M,-4.87%
2022-05-15,312.20,296.90,312.60,285.90,792.50K,5.15%
2022-05-14,296.90,290.89,299.40,272.40,1.12M,2.07%
2022-05-13,290.89,268.51,313.10,265.60,1.95M,8.34%
2022-05-12,268.51,270.92,284.70,219.98,4.59M,-0.89%
2022-05-11,270.92,319.00,322.70,261.48,3.61M,-15.07%
2022-05-10,318.99,296.31,332.40,289.80,2.31M,7.66%
2022-05-09,296.30,355.79,359.29,296.30,2.28M,-16.74%
2022-05-08,355.88,365.48,366.90,350.58,866.37K,-2.63%
2022-05-07,365.48,379.11,380.60,360.62,632.40K,-3.60%
2022-05-06,379.11,378.48,383.09,370.69,818.35K,0.14%
2022-05-05,378.57,402.51,412.81,374.66,1.35M,-5.95%
2022-05-04,402.51,383.80,403.09,382.88,651.20K,4.88%
2022-05-03,383.79,389.50,392.20,379.89,423.70K,-1.47%
2022-05-02,389.50,389.91,392.39,382.39,487.85K,-0.10%
2022-05-01,389.89,376.99,391.30,376.00,632.32K,3.42%
2022-04-30,377.01,392.99,399.80,376.69,634.84K,-4.07%
2022-04-29,392.99,407.19,410.59,390.10,781.51K,-3.49%
2022-04-28,407.19,391.31,408.41,388.51,1.03M,4.06%
2022-04-27,391.31,385.91,394.61,383.60,633.90K,1.40%
2022-04-26,385.91,404.30,407.31,381.21,689.80K,-4.55%
2022-04-25,404.30,398.89,405.41,383.00,935.57K,1.35%
2022-04-24,398.90,401.12,405.39,397.78,368.20K,-0.55%
2022-04-23,401.10,406.60,407.99,398.58,392.09K,-1.35%
2022-04-22,406.60,405.00,413.81,403.52,621.07K,0.40%
2022-04-21,405.00,418.29,425.81,401.72,830.74K,-3.18%
2022-04-20,418.29,422.20,431.12,415.20,749.98K,-0.93%
2022-04-19,422.20,416.82,424.53,414.79,663.87K,1.29%
2022-04-18,416.82,406.79,418.01,396.41,690.23K,2.46%
2022-04-17,406.81,417.10,418.20,405.71,338.55K,-2.47%
2022-04-16,417.10,417.22,418.70,411.70,272.23K,-0.03%
2022-04-15,417.22,414.70,419.99,412.69,389.03K,0.61%
2022-04-14,414.70,423.11,426.89,411.62,529.98K,-1.98%
2022-04-13,423.08,413.67,424.49,410.61,724.41K,2.28%
2022-04-12,413.67,394.22,416.60,392.57,821.33K,4.94%
2022-04-11,394.20,417.82,419.60,391.87,962.78K,-5.65%
2022-04-10,417.82,426.83,429.41,417.47,432.81K,-2.11%
2022-04-09,426.83,421.58,428.20,419.81,414.75K,1.24%
2022-04-08,421.60,436.31,440.71,418.91,769.82K,-3.37%
2022-04-07,436.31,420.19,438.49,416.88,803.59K,3.84%
2022-04-06,420.19,444.60,444.60,418.55,1.03M,-5.49%
