date,ADA_unscaled,ADA_monthly,isPartial,scale,ADA
2020-01-01,56,,,,
2020-01-02,80,,,,
2020-01-03,81,,,,
2020-01-04,58,,,,
2020-01-05,60,50.0,False,0.5,30.0
2020-01-06,95,50.0,,0.5,47.5
2020-01-07,100,50.0,,0.5,50.0
2020-01-08,91,50.0,,0.5,45.5
2020-01-09,85,50.0,,0.5,42.5
2020-01-10,91,50.0,,0.5,45.5
2020-01-11,67,50.0,,0.5,33.5
2020-01-12,66,49.0,False,0.49,32.339999999999996
2020-01-13,88,49.0,,0.49,43.12
2020-01-14,89,49.0,,0.49,43.61
2020-01-15,89,49.0,,0.49,43.61
2020-01-16,84,49.0,,0.49,41.16
2020-01-17,85,49.0,,0.49,41.65
2020-01-18,65,49.0,,0.49,31.849999999999998
2020-01-19,64,50.0,False,0.5,32.0
2020-01-20,83,50.0,,0.5,41.5
2020-01-21,91,50.0,,0.5,45.5
2020-01-22,93,50.0,,0.5,46.5
2020-01-23,92,50.0,,0.5,46.0
2020-01-24,90,50.0,,0.5,45.0
2020-01-25,62,50.0,,0.5,31.0
2020-01-26,56,50.0,False,0.5,28.0
2020-01-27,83,50.0,,0.5,41.5
2020-01-28,99,50.0,,0.5,49.5
2020-01-29,87,50.0,,0.5,43.5
2020-01-30,89,50.0,,0.5,44.5
2020-01-31,90,50.0,,0.5,45.0
2020-02-01,69,50.0,,0.5,34.5
2020-02-02,64,51.0,False,0.51,32.64
2020-02-03,83,51.0,,0.51,42.33
2020-02-04,94,51.0,,0.51,47.94
2020-02-05,99,51.0,,0.51,50.49
2020-02-06,97,51.0,,0.51,49.47
2020-02-07,87,51.0,,0.51,44.37
2020-02-08,64,51.0,,0.51,32.64
2020-02-09,68,52.0,False,0.52,35.36
2020-02-10,86,52.0,,0.52,44.72
2020-02-11,98,52.0,,0.52,50.96
2020-02-12,100,52.0,,0.52,52.0
2020-02-13,100,52.0,,0.52,52.0
2020-02-14,87,52.0,,0.52,45.24
2020-02-15,70,52.0,,0.52,36.4
2020-02-16,67,51.0,False,0.51,34.17
2020-02-17,84,51.0,,0.51,42.84
2020-02-18,99,51.0,,0.51,50.49
2020-02-19,94,51.0,,0.51,47.94
2020-02-20,96,51.0,,0.51,48.96
2020-02-21,91,51.0,,0.51,46.410000000000004
2020-02-22,73,51.0,,0.51,37.230000000000004
2020-02-23,61,50.0,False,0.5,30.5
2020-02-24,92,50.0,,0.5,46.0
2020-02-25,94,50.0,,0.5,47.0
2020-02-26,95,50.0,,0.5,47.5
2020-02-27,89,50.0,,0.5,44.5
2020-02-28,94,50.0,,0.5,47.0
2020-02-29,70,50.0,,0.5,35.0
2020-03-01,46,50.0,False,0.5,23.0
2020-03-02,65,50.0,,0.5,32.5
2020-03-03,70,50.0,,0.5,35.0
2020-03-04,71,50.0,,0.5,35.5
2020-03-05,68,50.0,,0.5,34.0
2020-03-06,62,50.0,,0.5,31.0
2020-03-07,48,50.0,,0.5,24.0
2020-03-08,51,51.0,False,0.51,26.01
2020-03-09,69,51.0,,0.51,35.19
2020-03-10,70,51.0,,0.51,35.7
2020-03-11,62,51.0,,0.51,31.62
2020-03-12,63,51.0,,0.51,32.13
2020-03-13,66,51.0,,0.51,33.660000000000004
2020-03-14,63,51.0,,0.51,32.13
2020-03-15,60,61.0,False,0.61,36.6
2020-03-16,93,61.0,,0.61,56.73
2020-03-17,100,61.0,,0.61,61.0
2020-03-18,73,61.0,,0.61,44.53
2020-03-19,67,61.0,,0.61,40.87
2020-03-20,61,61.0,,0.61,37.21
2020-03-21,47,61.0,,0.61,28.669999999999998
2020-03-22,47,44.0,False,0.44,20.68
2020-03-23,59,44.0,,0.44,25.96
2020-03-24,58,44.0,,0.44,25.52
2020-03-25,58,44.0,,0.44,25.52
2020-03-26,61,44.0,,0.44,26.84
2020-03-27,56,44.0,,0.44,24.64
2020-03-28,44,44.0,,0.44,19.36
2020-03-29,48,42.0,False,0.42,20.16
2020-03-30,55,42.0,,0.42,23.099999999999998
2020-03-31,57,42.0,,0.42,23.939999999999998
2020-04-01,81,42.0,,0.42,34.019999999999996
2020-04-02,81,42.0,,0.42,34.019999999999996
2020-04-03,79,42.0,,0.42,33.18
2020-04-04,63,42.0,,0.42,26.459999999999997
2020-04-05,62,42.0,False,0.42,26.04
2020-04-06,82,42.0,,0.42,34.44
2020-04-07,82,42.0,,0.42,34.44
2020-04-08,89,42.0,,0.42,37.379999999999995
2020-04-09,84,42.0,,0.42,35.28
2020-04-10,85,42.0,,0.42,35.699999999999996
2020-04-11,62,42.0,,0.42,26.04
2020-04-12,67,41.0,False,0.41,27.47
2020-04-13,84,41.0,,0.41,34.44
2020-04-14,87,41.0,,0.41,35.669999999999995
2020-04-15,85,41.0,,0.41,34.85
2020-04-16,82,41.0,,0.41,33.62
2020-04-17,86,41.0,,0.41,35.26
2020-04-18,68,41.0,,0.41,27.88
2020-04-19,67,45.0,False,0.45,30.150000000000002
2020-04-20,88,45.0,,0.45,39.6
2020-04-21,87,45.0,,0.45,39.15
2020-04-22,94,45.0,,0.45,42.300000000000004
2020-04-23,93,45.0,,0.45,41.85
2020-04-24,86,45.0,,0.45,38.7
2020-04-25,68,45.0,,0.45,30.6
2020-04-26,71,46.0,False,0.46,32.660000000000004
2020-04-27,94,46.0,,0.46,43.24
2020-04-28,100,46.0,,0.46,46.0
2020-04-29,96,46.0,,0.46,44.160000000000004
2020-04-30,93,46.0,,0.46,42.78
2020-05-01,87,46.0,,0.46,40.02
2020-05-02,72,46.0,,0.46,33.120000000000005
2020-05-03,66,46.0,False,0.46,30.360000000000003
2020-05-04,95,46.0,,0.46,43.7
2020-05-05,93,46.0,,0.46,42.78
2020-05-06,97,46.0,,0.46,44.620000000000005
2020-05-07,88,46.0,,0.46,40.480000000000004
2020-05-08,88,46.0,,0.46,40.480000000000004
2020-05-09,64,46.0,,0.46,29.44
2020-05-10,68,46.0,False,0.46,31.28
2020-05-11,80,46.0,,0.46,36.800000000000004
2020-05-12,95,46.0,,0.46,43.7
2020-05-13,97,46.0,,0.46,44.620000000000005
2020-05-14,97,46.0,,0.46,44.620000000000005
2020-05-15,92,46.0,,0.46,42.32
2020-05-16,72,46.0,,0.46,33.120000000000005
2020-05-17,72,47.0,False,0.47,33.839999999999996
2020-05-18,93,47.0,,0.47,43.71
2020-05-19,95,47.0,,0.47,44.65
2020-05-20,92,47.0,,0.47,43.239999999999995
2020-05-21,98,47.0,,0.47,46.059999999999995
2020-05-22,83,47.0,,0.47,39.01
2020-05-23,74,47.0,,0.47,34.78
2020-05-24,60,45.0,False,0.45,27.0
2020-05-25,72,45.0,,0.45,32.4
2020-05-26,99,45.0,,0.45,44.550000000000004
2020-05-27,94,45.0,,0.45,42.300000000000004
2020-05-28,100,45.0,,0.45,45.0
2020-05-29,87,45.0,,0.45,39.15
2020-05-30,64,45.0,,0.45,28.8
2020-05-31,65,45.0,False,0.45,29.25
2020-06-01,66,45.0,,0.45,29.7
2020-06-02,68,45.0,,0.45,30.6
2020-06-03,65,45.0,,0.45,29.25
2020-06-04,70,45.0,,0.45,31.5
2020-06-05,59,45.0,,0.45,26.55
2020-06-06,44,45.0,,0.45,19.8
2020-06-07,49,48.0,False,0.48,23.52
2020-06-08,66,48.0,,0.48,31.68
2020-06-09,67,48.0,,0.48,32.16
2020-06-10,69,48.0,,0.48,33.12
2020-06-11,69,48.0,,0.48,33.12
2020-06-12,65,48.0,,0.48,31.2
2020-06-13,49,48.0,,0.48,23.52
2020-06-14,47,48.0,False,0.48,22.56
2020-06-15,66,48.0,,0.48,31.68
2020-06-16,67,48.0,,0.48,32.16
2020-06-17,69,48.0,,0.48,33.12
2020-06-18,75,48.0,,0.48,36.0
2020-06-19,68,48.0,,0.48,32.64
2020-06-20,47,48.0,,0.48,22.56
2020-06-21,52,60.0,False,0.6,31.2
2020-06-22,80,60.0,,0.6,48.0
2020-06-23,77,60.0,,0.6,46.199999999999996
2020-06-24,79,60.0,,0.6,47.4
2020-06-25,100,60.0,,0.6,60.0
2020-06-26,79,60.0,,0.6,47.4
2020-06-27,60,60.0,,0.6,36.0
2020-06-28,54,50.0,False,0.5,27.0
2020-06-29,74,50.0,,0.5,37.0
2020-06-30,76,50.0,,0.5,38.0
2020-07-01,83,50.0,,0.5,41.5
2020-07-02,88,50.0,,0.5,44.0
2020-07-03,64,50.0,,0.5,32.0
2020-07-04,59,50.0,,0.5,29.5
2020-07-05,55,52.0,False,0.52,28.6
2020-07-06,85,52.0,,0.52,44.2
2020-07-07,85,52.0,,0.52,44.2
2020-07-08,88,52.0,,0.52,45.760000000000005
2020-07-09,87,52.0,,0.52,45.24
2020-07-10,85,52.0,,0.52,44.2
2020-07-11,64,52.0,,0.52,33.28
2020-07-12,62,57.0,False,0.57,35.339999999999996
2020-07-13,86,57.0,,0.57,49.019999999999996
2020-07-14,84,57.0,,0.57,47.879999999999995
2020-07-15,99,57.0,,0.57,56.42999999999999
2020-07-16,100,57.0,,0.57,56.99999999999999
