date,BNB_unscaled,BNB_monthly,isPartial,scale,BNB
2020-01-01,79,,,,
2020-01-02,97,,,,
2020-01-03,91,,,,
2020-01-04,85,,,,
2020-01-05,90,46.0,False,0.46,41.4
2020-01-06,91,46.0,,0.46,41.86
2020-01-07,96,46.0,,0.46,44.160000000000004
2020-01-08,95,46.0,,0.46,43.7
2020-01-09,91,46.0,,0.46,41.86
2020-01-10,86,46.0,,0.46,39.56
2020-01-11,80,46.0,,0.46,36.800000000000004
2020-01-12,100,45.0,False,0.45,45.0
2020-01-13,100,45.0,,0.45,45.0
2020-01-14,84,45.0,,0.45,37.800000000000004
2020-01-15,89,45.0,,0.45,40.050000000000004
2020-01-16,83,45.0,,0.45,37.35
2020-01-17,88,45.0,,0.45,39.6
2020-01-18,83,45.0,,0.45,37.35
2020-01-19,82,44.0,False,0.44,36.08
2020-01-20,89,44.0,,0.44,39.160000000000004
2020-01-21,90,44.0,,0.44,39.6
2020-01-22,85,44.0,,0.44,37.4
2020-01-23,85,44.0,,0.44,37.4
2020-01-24,79,44.0,,0.44,34.76
2020-01-25,87,44.0,,0.44,38.28
2020-01-26,84,42.0,False,0.42,35.28
2020-01-27,79,42.0,,0.42,33.18
2020-01-28,80,42.0,,0.42,33.6
2020-01-29,83,42.0,,0.42,34.86
2020-01-30,76,42.0,,0.42,31.919999999999998
2020-01-31,79,42.0,,0.42,33.18
2020-02-01,74,42.0,,0.42,31.08
2020-02-02,78,44.0,False,0.44,34.32
2020-02-03,81,44.0,,0.44,35.64
2020-02-04,84,44.0,,0.44,36.96
2020-02-05,80,44.0,,0.44,35.2
2020-02-06,88,44.0,,0.44,38.72
2020-02-07,85,44.0,,0.44,37.4
2020-02-08,81,44.0,,0.44,35.64
2020-02-09,89,43.0,False,0.43,38.269999999999996
2020-02-10,85,43.0,,0.43,36.55
2020-02-11,84,43.0,,0.43,36.12
2020-02-12,79,43.0,,0.43,33.97
2020-02-13,80,43.0,,0.43,34.4
2020-02-14,81,43.0,,0.43,34.83
2020-02-15,77,43.0,,0.43,33.11
2020-02-16,90,47.0,False,0.47,42.3
2020-02-17,96,47.0,,0.47,45.12
2020-02-18,100,47.0,,0.47,47.0
2020-02-19,85,47.0,,0.47,39.949999999999996
2020-02-20,88,47.0,,0.47,41.36
2020-02-21,90,47.0,,0.47,42.3
2020-02-22,88,47.0,,0.47,41.36
2020-02-23,85,43.0,False,0.43,36.55
2020-02-24,88,43.0,,0.43,37.839999999999996
2020-02-25,88,43.0,,0.43,37.839999999999996
2020-02-26,85,43.0,,0.43,36.55
2020-02-27,83,43.0,,0.43,35.69
2020-02-28,84,43.0,,0.43,36.12
2020-02-29,79,43.0,,0.43,33.97
2020-03-01,95,43.0,False,0.43,40.85
2020-03-02,91,43.0,,0.43,39.13
2020-03-03,96,43.0,,0.43,41.28
2020-03-04,82,43.0,,0.43,35.26
2020-03-05,91,43.0,,0.43,39.13
2020-03-06,84,43.0,,0.43,36.12
2020-03-07,93,43.0,,0.43,39.99
2020-03-08,93,44.0,False,0.44,40.92
2020-03-09,100,44.0,,0.44,44.0
2020-03-10,96,44.0,,0.44,42.24
2020-03-11,91,44.0,,0.44,40.04
2020-03-12,96,44.0,,0.44,42.24
2020-03-13,82,44.0,,0.44,36.08
2020-03-14,91,44.0,,0.44,40.04
2020-03-15,81,27.0,False,0.27,21.87
2020-03-16,63,27.0,,0.27,17.01
2020-03-17,52,27.0,,0.27,14.040000000000001
2020-03-18,50,27.0,,0.27,13.5
2020-03-19,50,27.0,,0.27,13.5
2020-03-20,37,27.0,,0.27,9.99
2020-03-21,45,27.0,,0.27,12.15
2020-03-22,44,20.0,False,0.2,8.8
2020-03-23,39,20.0,,0.2,7.800000000000001
2020-03-24,40,20.0,,0.2,8.0
2020-03-25,43,20.0,,0.2,8.6
2020-03-26,35,20.0,,0.2,7.0
2020-03-27,37,20.0,,0.2,7.4
2020-03-28,39,20.0,,0.2,7.800000000000001
2020-03-29,35,18.0,False,0.18,6.3
2020-03-30,34,18.0,,0.18,6.12
2020-03-31,41,18.0,,0.18,7.38
2020-04-01,62,18.0,,0.18,11.16
2020-04-02,66,18.0,,0.18,11.879999999999999
2020-04-03,54,18.0,,0.18,9.719999999999999
2020-04-04,62,18.0,,0.18,11.16
2020-04-05,59,18.0,False,0.18,10.62
2020-04-06,59,18.0,,0.18,10.62
2020-04-07,59,18.0,,0.18,10.62
2020-04-08,61,18.0,,0.18,10.98
2020-04-09,64,18.0,,0.18,11.52
2020-04-10,60,18.0,,0.18,10.799999999999999
2020-04-11,63,18.0,,0.18,11.34
2020-04-12,52,19.0,False,0.19,9.88
2020-04-13,60,19.0,,0.19,11.4
2020-04-14,63,19.0,,0.19,11.97
2020-04-15,67,19.0,,0.19,12.73
2020-04-16,63,19.0,,0.19,11.97
2020-04-17,66,19.0,,0.19,12.540000000000001
2020-04-18,80,19.0,,0.19,15.2
2020-04-19,81,22.0,False,0.22,17.82
2020-04-20,65,22.0,,0.22,14.3
2020-04-21,74,22.0,,0.22,16.28
2020-04-22,79,22.0,,0.22,17.38
2020-04-23,72,22.0,,0.22,15.84
2020-04-24,70,22.0,,0.22,15.4
2020-04-25,81,22.0,,0.22,17.82
2020-04-26,96,29.0,False,0.29,27.839999999999996
2020-04-27,86,29.0,,0.29,24.939999999999998
2020-04-28,94,29.0,,0.29,27.259999999999998
2020-04-29,100,29.0,,0.29,28.999999999999996
2020-04-30,96,29.0,,0.29,27.839999999999996
2020-05-01,53,29.0,,0.29,15.37
2020-05-02,65,29.0,,0.29,18.849999999999998
2020-05-03,64,33.0,False,0.33,21.12
2020-05-04,58,33.0,,0.33,19.14
2020-05-05,62,33.0,,0.33,20.46
2020-05-06,60,33.0,,0.33,19.8
2020-05-07,53,33.0,,0.33,17.490000000000002
2020-05-08,53,33.0,,0.33,17.490000000000002
2020-05-09,59,33.0,,0.33,19.470000000000002
2020-05-10,64,37.0,False,0.37,23.68
2020-05-11,70,37.0,,0.37,25.9
2020-05-12,69,37.0,,0.37,25.53
2020-05-13,67,37.0,,0.37,24.79
2020-05-14,66,37.0,,0.37,24.419999999999998
2020-05-15,75,37.0,,0.37,27.75
2020-05-16,78,37.0,,0.37,28.86
2020-05-17,95,45.0,False,0.45,42.75
2020-05-18,82,45.0,,0.45,36.9
2020-05-19,88,45.0,,0.45,39.6
2020-05-20,82,45.0,,0.45,36.9
2020-05-21,80,45.0,,0.45,36.0
2020-05-22,88,45.0,,0.45,39.6
2020-05-23,87,45.0,,0.45,39.15
2020-05-24,88,47.0,False,0.47,41.36
2020-05-25,100,47.0,,0.47,47.0
2020-05-26,92,47.0,,0.47,43.239999999999995
2020-05-27,90,47.0,,0.47,42.3
2020-05-28,84,47.0,,0.47,39.48
2020-05-29,78,47.0,,0.47,36.66
2020-05-30,83,47.0,,0.47,39.01
2020-05-31,81,44.0,False,0.44,35.64
2020-06-01,72,44.0,,0.44,31.68
2020-06-02,70,44.0,,0.44,30.8
2020-06-03,70,44.0,,0.44,30.8
2020-06-04,73,44.0,,0.44,32.12
2020-06-05,70,44.0,,0.44,30.8
2020-06-06,71,44.0,,0.44,31.24
2020-06-07,92,60.0,False,0.6,55.199999999999996
2020-06-08,100,60.0,,0.6,60.0
2020-06-09,98,60.0,,0.6,58.8
2020-06-10,91,60.0,,0.6,54.6
2020-06-11,79,60.0,,0.6,47.4
2020-06-12,84,60.0,,0.6,50.4
2020-06-13,85,60.0,,0.6,51.0
2020-06-14,88,55.0,False,0.55,48.400000000000006
2020-06-15,93,55.0,,0.55,51.150000000000006
2020-06-16,87,55.0,,0.55,47.85
2020-06-17,89,55.0,,0.55,48.95
2020-06-18,81,55.0,,0.55,44.550000000000004
2020-06-19,81,55.0,,0.55,44.550000000000004
2020-06-20,75,55.0,,0.55,41.25
2020-06-21,86,56.0,False,0.56,48.160000000000004
2020-06-22,92,56.0,,0.56,51.52
2020-06-23,85,56.0,,0.56,47.6
2020-06-24,84,56.0,,0.56,47.040000000000006
2020-06-25,85,56.0,,0.56,47.6
2020-06-26,77,56.0,,0.56,43.120000000000005
2020-06-27,81,56.0,,0.56,45.36000000000001
2020-06-28,87,50.0,False,0.5,43.5
2020-06-29,89,50.0,,0.5,44.5
2020-06-30,81,50.0,,0.5,40.5
2020-07-01,97,50.0,,0.5,48.5
2020-07-02,87,50.0,,0.5,43.5
2020-07-03,80,50.0,,0.5,40.0
2020-07-04,76,50.0,,0.5,38.0
2020-07-05,99,49.0,False,0.49,48.51
2020-07-06,100,49.0,,0.49,49.0
2020-07-07,99,49.0,,0.49,48.51
2020-07-08,93,49.0,,0.49,45.57
2020-07-09,87,49.0,,0.49,42.63
2020-07-10,83,49.0,,0.49,40.67
2020-07-11,79,49.0,,0.49,38.71
2020-07-12,88,49.0,False,0.49,43.12
2020-07-13,94,49.0,,0.49,46.06
2020-07-14,96,49.0,,0.49,47.04
2020-07-15,92,49.0,,0.49,45.08
2020-07-16,93,49.0,,0.49,45.57
2020-07-17,89,49.0,,0.49,43.61
2020-07-18,89,49.0,,0.49,43.61
2020-07-19,97,49.0,False,0.49,47.53
2020-07-20,95,49.0,,0.49,46.55
2020-07-21,94,49.0,,0.49,46.06
2020-07-22,91,49.0,,0.49,44.589999999999996
2020-07-23,87,49.0,,0.49,42.63
2020-07-24,79,49.0,,0.49,38.71
2020-07-25,95,49.0,,0.49,46.55
2020-07-26,95,50.0,False,0.5,47.5
2020-07-27,99,50.0,,0.5,49.5
2020-07-28,93,50.0,,0.5,46.5
2020-07-29,87,50.0,,0.5,43.5
2020-07-30,94,50.0,,0.5,47.0
2020-07-31,87,50.0,,0.5,43.5
2020-08-01,91,50.0,,0.5,45.5
2020-08-02,98,47.0,False,0.47,46.059999999999995
2020-08-03,100,47.0,,0.47,47.0
2020-08-04,90,47.0,,0.47,42.3
2020-08-05,91,47.0,,0.47,42.769999999999996
2020-08-06,85,47.0,,0.47,39.949999999999996
2020-08-07,83,47.0,,0.47,39.01
2020-08-08,87,47.0,,0.47,40.89
2020-08-09,95,46.0,False,0.46,43.7
2020-08-10,100,46.0,,0.46,46.0
2020-08-11,92,46.0,,0.46,42.32
2020-08-12,92,46.0,,0.46,42.32
2020-08-13,92,46.0,,0.46,42.32
2020-08-14,81,46.0,,0.46,37.260000000000005
2020-08-15,83,46.0,,0.46,38.18
2020-08-16,87,45.0,False,0.45,39.15
2020-08-17,89,45.0,,0.45,40.050000000000004
2020-08-18,87,45.0,,0.45,39.15
2020-08-19,87,45.0,,0.45,39.15
2020-08-20,89,45.0,,0.45,40.050000000000004
2020-08-21,79,45.0,,0.45,35.550000000000004
2020-08-22,84,45.0,,0.45,37.800000000000004
2020-08-23,97,43.0,False,0.43,41.71
2020-08-24,87,43.0,,0.43,37.41
2020-08-25,89,43.0,,0.43,38.269999999999996
2020-08-26,81,43.0,,0.43,34.83
2020-08-27,71,43.0,,0.43,30.53
2020-08-28,82,43.0,,0.43,35.26
2020-08-29,76,43.0,,0.43,32.68
2020-08-30,85,42.0,False,0.42,35.699999999999996
2020-08-31,86,42.0,,0.42,36.12
2020-09-01,100,42.0,,0.42,42.0
2020-09-02,91,42.0,,0.42,38.22
2020-09-03,86,42.0,,0.42,36.12
2020-09-04,90,42.0,,0.42,37.8
2020-09-05,94,42.0,,0.42,39.48
2020-09-06,90,38.0,False,0.38,34.2
2020-09-07,90,38.0,,0.38,34.2
2020-09-08,83,38.0,,0.38,31.54
2020-09-09,86,38.0,,0.38,32.68
2020-09-10,76,38.0,,0.38,28.88
2020-09-11,74,38.0,,0.38,28.12
2020-09-12,78,38.0,,0.38,29.64
2020-09-13,85,38.0,False,0.38,32.3
2020-09-14,92,38.0,,0.38,34.96
2020-09-15,87,38.0,,0.38,33.06
2020-09-16,79,38.0,,0.38,30.02
2020-09-17,73,38.0,,0.38,27.740000000000002
2020-09-18,73,38.0,,0.38,27.740000000000002
2020-09-19,81,38.0,,0.38,30.78
2020-09-20,88,37.0,False,0.37,32.56
2020-09-21,75,37.0,,0.37,27.75
2020-09-22,83,37.0,,0.37,30.71
2020-09-23,77,37.0,,0.37,28.49
2020-09-24,75,37.0,,0.37,27.75
2020-09-25,76,37.0,,0.37,28.12
2020-09-26,77,37.0,,0.37,28.49
2020-09-27,97,38.0,False,0.38,36.86
2020-09-28,86,38.0,,0.38,32.68
2020-09-29,84,38.0,,0.38,31.92
2020-09-30,73,38.0,,0.38,27.740000000000002
2020-10-01,87,38.0,,0.38,33.06
2020-10-02,92,38.0,,0.38,34.96
2020-10-03,100,38.0,,0.38,38.0
2020-10-04,99,36.0,False,0.36,35.64
2020-10-05,88,36.0,,0.36,31.68
2020-10-06,86,36.0,,0.36,30.959999999999997
2020-10-07,84,36.0,,0.36,30.24
2020-10-08,87,36.0,,0.36,31.32
2020-10-09,90,36.0,,0.36,32.4
2020-10-10,82,36.0,,0.36,29.52
2020-10-11,94,36.0,False,0.36,33.839999999999996
2020-10-12,96,36.0,,0.36,34.56
2020-10-13,97,36.0,,0.36,34.92
2020-10-14,86,36.0,,0.36,30.959999999999997
2020-10-15,80,36.0,,0.36,28.799999999999997
2020-10-16,93,36.0,,0.36,33.48
2020-10-17,85,36.0,,0.36,30.599999999999998
2020-10-18,99,36.0,False,0.36,35.64
2020-10-19,89,36.0,,0.36,32.04
2020-10-20,89,36.0,,0.36,32.04
2020-10-21,89,36.0,,0.36,32.04
2020-10-22,84,36.0,,0.36,30.24
2020-10-23,82,36.0,,0.36,29.52
2020-10-24,80,36.0,,0.36,28.799999999999997
2020-10-25,97,33.0,False,0.33,32.01
2020-10-26,90,33.0,,0.33,29.700000000000003
2020-10-27,92,33.0,,0.33,30.360000000000003
2020-10-28,81,33.0,,0.33,26.73
2020-10-29,69,33.0,,0.33,22.77
2020-10-30,76,33.0,,0.33,25.080000000000002
2020-10-31,61,33.0,,0.33,20.130000000000003
2020-11-01,78,26.0,False,0.26,20.28
2020-11-02,85,26.0,,0.26,22.1
2020-11-03,69,26.0,,0.26,17.94
2020-11-04,46,26.0,,0.26,11.96
2020-11-05,63,26.0,,0.26,16.38
2020-11-06,63,26.0,,0.26,16.38
2020-11-07,62,26.0,,0.26,16.12
2020-11-08,77,34.0,False,0.34,26.180000000000003
2020-11-09,100,34.0,,0.34,34.0
2020-11-10,87,34.0,,0.34,29.580000000000002
2020-11-11,83,34.0,,0.34,28.220000000000002
2020-11-12,82,34.0,,0.34,27.880000000000003
2020-11-13,78,34.0,,0.34,26.520000000000003
2020-11-14,78,34.0,,0.34,26.520000000000003
2020-11-15,86,33.0,False,0.33,28.380000000000003
2020-11-16,87,33.0,,0.33,28.71
2020-11-17,89,33.0,,0.33,29.37
2020-11-18,81,33.0,,0.33,26.73
2020-11-19,74,33.0,,0.33,24.42
2020-11-20,72,33.0,,0.33,23.76
2020-11-21,74,33.0,,0.33,24.42
2020-11-22,67,27.0,False,0.27,18.09
2020-11-23,79,27.0,,0.27,21.330000000000002
2020-11-24,78,27.0,,0.27,21.060000000000002
2020-11-25,64,27.0,,0.27,17.28
2020-11-26,48,27.0,,0.27,12.96
2020-11-27,64,27.0,,0.27,17.28
2020-11-28,67,27.0,,0.27,18.09
2020-11-29,85,33.0,False,0.33,28.05
2020-11-30,76,33.0,,0.33,25.080000000000002
2020-12-01,46,33.0,,0.33,15.180000000000001
2020-12-02,47,33.0,,0.33,15.510000000000002
2020-12-03,50,33.0,,0.33,16.5
2020-12-04,48,33.0,,0.33,15.84
2020-12-05,44,33.0,,0.33,14.520000000000001
2020-12-06,47,43.0,False,0.43,20.21
2020-12-07,54,43.0,,0.43,23.22
2020-12-08,52,43.0,,0.43,22.36
2020-12-09,70,43.0,,0.43,30.099999999999998
2020-12-10,100,43.0,,0.43,43.0
2020-12-11,65,43.0,,0.43,27.95
2020-12-12,47,43.0,,0.43,20.21
2020-12-13,42,34.0,False,0.34,14.280000000000001
2020-12-14,54,34.0,,0.34,18.360000000000003
2020-12-15,49,34.0,,0.34,16.66
2020-12-16,46,34.0,,0.34,15.64
2020-12-17,43,34.0,,0.34,14.620000000000001
2020-12-18,46,34.0,,0.34,15.64
2020-12-19,48,34.0,,0.34,16.32
2020-12-20,47,32.0,False,0.32,15.040000000000001
2020-12-21,45,32.0,,0.32,14.4
2020-12-22,47,32.0,,0.32,15.040000000000001
2020-12-23,42,32.0,,0.32,13.44
2020-12-24,36,32.0,,0.32,11.52
2020-12-25,42,32.0,,0.32,13.44
2020-12-26,59,32.0,,0.32,18.88
2020-12-27,61,42.0,False,0.42,25.619999999999997
2020-12-28,66,42.0,,0.42,27.72
2020-12-29,62,42.0,,0.42,26.04
2020-12-30,62,42.0,,0.42,26.04
2020-12-31,52,42.0,,0.42,21.84
2021-01-01,72,42.0,,0.42,30.24
2021-01-02,94,42.0,,0.42,39.48
2021-01-03,92,40.0,False,0.4,36.800000000000004
2021-01-04,83,40.0,,0.4,33.2
2021-01-05,81,40.0,,0.4,32.4
2021-01-06,76,40.0,,0.4,30.400000000000002
2021-01-07,72,40.0,,0.4,28.8
2021-01-08,72,40.0,,0.4,28.8
2021-01-09,76,40.0,,0.4,30.400000000000002
2021-01-10,88,43.0,False,0.43,37.839999999999996
2021-01-11,86,43.0,,0.43,36.98
2021-01-12,83,43.0,,0.43,35.69
2021-01-13,95,43.0,,0.43,40.85
2021-01-14,85,43.0,,0.43,36.55
2021-01-15,80,43.0,,0.43,34.4
2021-01-16,85,43.0,,0.43,36.55
2021-01-17,100,44.0,False,0.44,44.0
2021-01-18,100,44.0,,0.44,44.0
2021-01-19,93,44.0,,0.44,40.92
2021-01-20,79,44.0,,0.44,34.76
2021-01-21,81,44.0,,0.44,35.64
2021-01-22,85,44.0,,0.44,37.4
2021-01-23,89,44.0,,0.44,39.160000000000004
2021-01-24,93,43.0,False,0.43,39.99
2021-01-25,91,43.0,,0.43,39.13
2021-01-26,98,43.0,,0.43,42.14
2021-01-27,84,43.0,,0.43,36.12
2021-01-28,71,43.0,,0.43,30.53
2021-01-29,73,43.0,,0.43,31.39
2021-01-30,82,43.0,,0.43,35.26
2021-01-31,93,44.0,False,0.44,40.92
2021-02-01,74,44.0,,0.44,32.56
2021-02-02,65,44.0,,0.44,28.6
2021-02-03,67,44.0,,0.44,29.48
2021-02-04,62,44.0,,0.44,27.28
2021-02-05,60,44.0,,0.44,26.4
2021-02-06,78,44.0,,0.44,34.32
2021-02-07,68,47.0,False,0.47,31.959999999999997
2021-02-08,72,47.0,,0.47,33.839999999999996
2021-02-09,80,47.0,,0.47,37.599999999999994
2021-02-10,86,47.0,,0.47,40.419999999999995
2021-02-11,67,47.0,,0.47,31.49
2021-02-12,72,47.0,,0.47,33.839999999999996
2021-02-13,75,47.0,,0.47,35.25
2021-02-14,72,52.0,False,0.52,37.44
2021-02-15,72,52.0,,0.52,37.44
2021-02-16,78,52.0,,0.52,40.56
2021-02-17,82,52.0,,0.52,42.64
2021-02-18,75,52.0,,0.52,39.0
2021-02-19,100,52.0,,0.52,52.0
2021-02-20,95,52.0,,0.52,49.4
2021-02-21,96,54.0,False,0.54,51.84
2021-02-22,85,54.0,,0.54,45.900000000000006
2021-02-23,84,54.0,,0.54,45.36
2021-02-24,84,54.0,,0.54,45.36
2021-02-25,84,54.0,,0.54,45.36
2021-02-26,82,54.0,,0.54,44.28
2021-02-27,85,54.0,,0.54,45.900000000000006
2021-02-28,91,54.0,False,0.54,49.14
2021-03-01,88,54.0,,0.54,47.52
2021-03-02,99,54.0,,0.54,53.46
2021-03-03,84,54.0,,0.54,45.36
2021-03-04,86,54.0,,0.54,46.440000000000005
2021-03-05,72,54.0,,0.54,38.88
2021-03-06,79,54.0,,0.54,42.660000000000004
2021-03-07,94,54.0,False,0.54,50.760000000000005
2021-03-08,88,54.0,,0.54,47.52
2021-03-09,92,54.0,,0.54,49.68000000000001
2021-03-10,86,54.0,,0.54,46.440000000000005
2021-03-11,82,54.0,,0.54,44.28
2021-03-12,85,54.0,,0.54,45.900000000000006
2021-03-13,92,54.0,,0.54,49.68000000000001
2021-03-14,96,55.0,False,0.55,52.800000000000004
2021-03-15,84,55.0,,0.55,46.2
2021-03-16,92,55.0,,0.55,50.6
2021-03-17,87,55.0,,0.55,47.85
2021-03-18,86,55.0,,0.55,47.300000000000004
2021-03-19,85,55.0,,0.55,46.75000000000001
2021-03-20,87,55.0,,0.55,47.85
2021-03-21,97,55.0,False,0.55,53.35
2021-03-22,93,55.0,,0.55,51.150000000000006
2021-03-23,93,55.0,,0.55,51.150000000000006
2021-03-24,83,55.0,,0.55,45.650000000000006
2021-03-25,85,55.0,,0.55,46.75000000000001
2021-03-26,89,55.0,,0.55,48.95
2021-03-27,81,55.0,,0.55,44.550000000000004
2021-03-28,100,54.0,False,0.54,54.0
2021-03-29,93,54.0,,0.54,50.220000000000006
2021-03-30,87,54.0,,0.54,46.980000000000004
2021-03-31,81,54.0,,0.54,43.74
2021-04-01,38,54.0,,0.54,20.520000000000003
2021-04-02,42,54.0,,0.54,22.68
2021-04-03,41,54.0,,0.54,22.14
2021-04-04,48,59.0,False,0.59,28.32
2021-04-05,47,59.0,,0.59,27.729999999999997
2021-04-06,46,59.0,,0.59,27.139999999999997
2021-04-07,47,59.0,,0.59,27.729999999999997
2021-04-08,43,59.0,,0.59,25.369999999999997
2021-04-09,41,59.0,,0.59,24.189999999999998
2021-04-10,45,59.0,,0.59,26.549999999999997
2021-04-11,47,63.0,False,0.63,29.61
2021-04-12,52,63.0,,0.63,32.76
2021-04-13,47,63.0,,0.63,29.61
2021-04-14,43,63.0,,0.63,27.09
