date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2020-01-01,49,,,,
2020-01-02,59,,,,
2020-01-03,65,,,,
2020-01-04,52,,,,
2020-01-05,49,13.0,False,0.13,6.37
2020-01-06,66,13.0,,0.13,8.58
2020-01-07,85,13.0,,0.13,11.05
2020-01-08,100,13.0,,0.13,13.0
2020-01-09,68,13.0,,0.13,8.84
2020-01-10,67,13.0,,0.13,8.71
2020-01-11,61,13.0,,0.13,7.930000000000001
2020-01-12,53,14.0,False,0.14,7.420000000000001
2020-01-13,57,14.0,,0.14,7.98
2020-01-14,87,14.0,,0.14,12.180000000000001
2020-01-15,92,14.0,,0.14,12.88
2020-01-16,65,14.0,,0.14,9.100000000000001
2020-01-17,73,14.0,,0.14,10.22
2020-01-18,82,14.0,,0.14,11.48
2020-01-19,76,11.0,False,0.11,8.36
2020-01-20,64,11.0,,0.11,7.04
2020-01-21,60,11.0,,0.11,6.6
2020-01-22,56,11.0,,0.11,6.16
2020-01-23,63,11.0,,0.11,6.93
2020-01-24,52,11.0,,0.11,5.72
2020-01-25,50,11.0,,0.11,5.5
2020-01-26,52,12.0,False,0.12,6.24
2020-01-27,53,12.0,,0.12,6.359999999999999
2020-01-28,73,12.0,,0.12,8.76
2020-01-29,87,12.0,,0.12,10.44
2020-01-30,62,12.0,,0.12,7.4399999999999995
2020-01-31,77,12.0,,0.12,9.24
2020-02-01,67,12.0,,0.12,8.04
2020-02-02,67,14.0,False,0.14,9.38
2020-02-03,61,14.0,,0.14,8.540000000000001
2020-02-04,66,14.0,,0.14,9.24
2020-02-05,80,14.0,,0.14,11.200000000000001
2020-02-06,78,14.0,,0.14,10.920000000000002
2020-02-07,76,14.0,,0.14,10.64
2020-02-08,64,14.0,,0.14,8.96
2020-02-09,100,16.0,False,0.16,16.0
2020-02-10,79,16.0,,0.16,12.64
2020-02-11,88,16.0,,0.16,14.08
2020-02-12,95,16.0,,0.16,15.200000000000001
2020-02-13,89,16.0,,0.16,14.24
2020-02-14,66,16.0,,0.16,10.56
2020-02-15,73,16.0,,0.16,11.68
2020-02-16,73,14.0,False,0.14,10.22
2020-02-17,77,14.0,,0.14,10.780000000000001
2020-02-18,76,14.0,,0.14,10.64
2020-02-19,81,14.0,,0.14,11.340000000000002
2020-02-20,80,14.0,,0.14,11.200000000000001
2020-02-21,76,14.0,,0.14,10.64
2020-02-22,58,14.0,,0.14,8.120000000000001
2020-02-23,62,15.0,False,0.15,9.299999999999999
2020-02-24,81,15.0,,0.15,12.15
2020-02-25,75,15.0,,0.15,11.25
2020-02-26,90,15.0,,0.15,13.5
2020-02-27,89,15.0,,0.15,13.35
2020-02-28,86,15.0,,0.15,12.9
2020-02-29,68,15.0,,0.15,10.2
2020-03-01,27,12.0,False,0.12,3.2399999999999998
2020-03-02,27,12.0,,0.12,3.2399999999999998
2020-03-03,31,12.0,,0.12,3.7199999999999998
2020-03-04,26,12.0,,0.12,3.12
2020-03-05,26,12.0,,0.12,3.12
2020-03-06,25,12.0,,0.12,3.0
2020-03-07,25,12.0,,0.12,3.0
2020-03-08,30,24.0,False,0.24,7.199999999999999
2020-03-09,54,24.0,,0.24,12.959999999999999
2020-03-10,32,24.0,,0.24,7.68
2020-03-11,31,24.0,,0.24,7.4399999999999995
2020-03-12,74,24.0,,0.24,17.759999999999998
2020-03-13,100,24.0,,0.24,24.0
2020-03-14,74,24.0,,0.24,17.759999999999998
2020-03-15,40,22.0,False,0.22,8.8
2020-03-16,64,22.0,,0.22,14.08
2020-03-17,49,22.0,,0.22,10.78
2020-03-18,50,22.0,,0.22,11.0
2020-03-19,54,22.0,,0.22,11.88
2020-03-20,45,22.0,,0.22,9.9
2020-03-21,43,22.0,,0.22,9.46
2020-03-22,38,17.0,False,0.17,6.460000000000001
2020-03-23,41,17.0,,0.17,6.970000000000001
2020-03-24,51,17.0,,0.17,8.67
2020-03-25,40,17.0,,0.17,6.800000000000001
2020-03-26,36,17.0,,0.17,6.12
2020-03-27,33,17.0,,0.17,5.61
2020-03-28,33,17.0,,0.17,5.61
2020-03-29,26,13.0,False,0.13,3.38
2020-03-30,31,13.0,,0.13,4.03
2020-03-31,29,13.0,,0.13,3.77
2020-04-01,47,13.0,,0.13,6.11
2020-04-02,58,13.0,,0.13,7.54
2020-04-03,53,13.0,,0.13,6.890000000000001
2020-04-04,45,13.0,,0.13,5.8500000000000005
2020-04-05,53,15.0,False,0.15,7.949999999999999
2020-04-06,60,15.0,,0.15,9.0
2020-04-07,63,15.0,,0.15,9.45
2020-04-08,53,15.0,,0.15,7.949999999999999
2020-04-09,61,15.0,,0.15,9.15
2020-04-10,54,15.0,,0.15,8.1
2020-04-11,52,15.0,,0.15,7.8
2020-04-12,45,14.0,False,0.14,6.300000000000001
2020-04-13,55,14.0,,0.14,7.700000000000001
2020-04-14,51,14.0,,0.14,7.140000000000001
2020-04-15,50,14.0,,0.14,7.000000000000001
2020-04-16,66,14.0,,0.14,9.24
2020-04-17,49,14.0,,0.14,6.86
2020-04-18,50,14.0,,0.14,7.000000000000001
2020-04-19,56,14.0,False,0.14,7.840000000000001
2020-04-20,51,14.0,,0.14,7.140000000000001
2020-04-21,51,14.0,,0.14,7.140000000000001
2020-04-22,43,14.0,,0.14,6.0200000000000005
2020-04-23,62,14.0,,0.14,8.680000000000001
2020-04-24,55,14.0,,0.14,7.700000000000001
2020-04-25,43,14.0,,0.14,6.0200000000000005
2020-04-26,56,18.0,False,0.18,10.08
2020-04-27,56,18.0,,0.18,10.08
2020-04-28,50,18.0,,0.18,9.0
2020-04-29,85,18.0,,0.18,15.299999999999999
2020-04-30,100,18.0,,0.18,18.0
2020-05-01,59,18.0,,0.18,10.62
2020-05-02,48,18.0,,0.18,8.64
2020-05-03,50,20.0,False,0.2,10.0
2020-05-04,49,20.0,,0.2,9.8
2020-05-05,46,20.0,,0.2,9.200000000000001
2020-05-06,52,20.0,,0.2,10.4
2020-05-07,69,20.0,,0.2,13.8
2020-05-08,72,20.0,,0.2,14.4
2020-05-09,68,20.0,,0.2,13.600000000000001
2020-05-10,100,23.0,False,0.23,23.0
2020-05-11,98,23.0,,0.23,22.540000000000003
2020-05-12,73,23.0,,0.23,16.79
2020-05-13,62,23.0,,0.23,14.26
2020-05-14,69,23.0,,0.23,15.870000000000001
2020-05-15,54,23.0,,0.23,12.42
2020-05-16,48,23.0,,0.23,11.040000000000001
2020-05-17,51,17.0,False,0.17,8.67
2020-05-18,55,17.0,,0.17,9.350000000000001
2020-05-19,47,17.0,,0.17,7.99
2020-05-20,59,17.0,,0.17,10.030000000000001
2020-05-21,54,17.0,,0.17,9.180000000000001
2020-05-22,44,17.0,,0.17,7.48
2020-05-23,37,17.0,,0.17,6.29
2020-05-24,45,16.0,False,0.16,7.2
2020-05-25,49,16.0,,0.16,7.84
2020-05-26,43,16.0,,0.16,6.88
2020-05-27,50,16.0,,0.16,8.0
2020-05-28,46,16.0,,0.16,7.36
2020-05-29,41,16.0,,0.16,6.5600000000000005
2020-05-30,41,16.0,,0.16,6.5600000000000005
2020-05-31,36,16.0,False,0.16,5.76
2020-06-01,66,16.0,,0.16,10.56
2020-06-02,100,16.0,,0.16,16.0
2020-06-03,75,16.0,,0.16,12.0
2020-06-04,79,16.0,,0.16,12.64
2020-06-05,69,16.0,,0.16,11.040000000000001
2020-06-06,55,16.0,,0.16,8.8
2020-06-07,56,15.0,False,0.15,8.4
2020-06-08,59,15.0,,0.15,8.85
2020-06-09,70,15.0,,0.15,10.5
2020-06-10,75,15.0,,0.15,11.25
2020-06-11,70,15.0,,0.15,10.5
2020-06-12,64,15.0,,0.15,9.6
2020-06-13,50,15.0,,0.15,7.5
2020-06-14,70,13.0,False,0.13,9.1
2020-06-15,66,13.0,,0.13,8.58
2020-06-16,56,13.0,,0.13,7.28
2020-06-17,56,13.0,,0.13,7.28
2020-06-18,57,13.0,,0.13,7.41
2020-06-19,56,13.0,,0.13,7.28
2020-06-20,45,13.0,,0.13,5.8500000000000005
2020-06-21,44,12.0,False,0.12,5.279999999999999
