date,DOGE_unscaled,DOGE_monthly,isPartial,scale,DOGE
2020-01-01,64,,,,
2020-01-02,63,,,,
2020-01-03,61,,,,
2020-01-04,61,,,,
2020-01-05,56,4.0,False,0.04,2.24
2020-01-06,62,4.0,,0.04,2.48
2020-01-07,71,4.0,,0.04,2.84
2020-01-08,80,4.0,,0.04,3.2
2020-01-09,81,4.0,,0.04,3.24
2020-01-10,98,4.0,,0.04,3.92
2020-01-11,56,4.0,,0.04,2.24
2020-01-12,47,4.0,False,0.04,1.8800000000000001
2020-01-13,69,4.0,,0.04,2.7600000000000002
2020-01-14,90,4.0,,0.04,3.6
2020-01-15,86,4.0,,0.04,3.44
2020-01-16,92,4.0,,0.04,3.68
2020-01-17,82,4.0,,0.04,3.2800000000000002
2020-01-18,63,4.0,,0.04,2.52
2020-01-19,53,4.0,False,0.04,2.12
2020-01-20,50,4.0,,0.04,2.0
2020-01-21,65,4.0,,0.04,2.6
2020-01-22,88,4.0,,0.04,3.52
2020-01-23,85,4.0,,0.04,3.4
2020-01-24,86,4.0,,0.04,3.44
2020-01-25,61,4.0,,0.04,2.44
2020-01-26,59,4.0,False,0.04,2.36
2020-01-27,66,4.0,,0.04,2.64
2020-01-28,85,4.0,,0.04,3.4
2020-01-29,97,4.0,,0.04,3.88
2020-01-30,100,4.0,,0.04,4.0
2020-01-31,96,4.0,,0.04,3.84
2020-02-01,53,4.0,,0.04,2.12
2020-02-02,47,5.0,False,0.05,2.35
2020-02-03,73,5.0,,0.05,3.6500000000000004
2020-02-04,77,5.0,,0.05,3.85
2020-02-05,78,5.0,,0.05,3.9000000000000004
2020-02-06,73,5.0,,0.05,3.6500000000000004
2020-02-07,70,5.0,,0.05,3.5
2020-02-08,66,5.0,,0.05,3.3000000000000003
2020-02-09,50,5.0,False,0.05,2.5
2020-02-10,66,5.0,,0.05,3.3000000000000003
2020-02-11,73,5.0,,0.05,3.6500000000000004
2020-02-12,76,5.0,,0.05,3.8000000000000003
2020-02-13,93,5.0,,0.05,4.65
2020-02-14,76,5.0,,0.05,3.8000000000000003
2020-02-15,50,5.0,,0.05,2.5
2020-02-16,47,4.0,False,0.04,1.8800000000000001
2020-02-17,40,4.0,,0.04,1.6
2020-02-18,72,4.0,,0.04,2.88
2020-02-19,69,4.0,,0.04,2.7600000000000002
2020-02-20,73,4.0,,0.04,2.92
2020-02-21,88,4.0,,0.04,3.52
2020-02-22,58,4.0,,0.04,2.32
2020-02-23,60,5.0,False,0.05,3.0
2020-02-24,69,5.0,,0.05,3.45
2020-02-25,81,5.0,,0.05,4.05
2020-02-26,79,5.0,,0.05,3.95
2020-02-27,75,5.0,,0.05,3.75
2020-02-28,100,5.0,,0.05,5.0
2020-02-29,54,5.0,,0.05,2.7
2020-03-01,50,5.0,False,0.05,2.5
2020-03-02,78,5.0,,0.05,3.9000000000000004
2020-03-03,70,5.0,,0.05,3.5
2020-03-04,89,5.0,,0.05,4.45
2020-03-05,80,5.0,,0.05,4.0
2020-03-06,100,5.0,,0.05,5.0
2020-03-07,56,5.0,,0.05,2.8000000000000003
2020-03-08,52,5.0,False,0.05,2.6
2020-03-09,72,5.0,,0.05,3.6
2020-03-10,89,5.0,,0.05,4.45
2020-03-11,74,5.0,,0.05,3.7
2020-03-12,75,5.0,,0.05,3.75
2020-03-13,76,5.0,,0.05,3.8000000000000003
2020-03-14,57,5.0,,0.05,2.85
2020-03-15,57,3.0,False,0.03,1.71
2020-03-16,58,3.0,,0.03,1.74
2020-03-17,44,3.0,,0.03,1.3199999999999998
2020-03-18,37,3.0,,0.03,1.1099999999999999
2020-03-19,48,3.0,,0.03,1.44
2020-03-20,43,3.0,,0.03,1.29
2020-03-21,40,3.0,,0.03,1.2
2020-03-22,47,3.0,False,0.03,1.41
2020-03-23,38,3.0,,0.03,1.14
2020-03-24,48,3.0,,0.03,1.44
2020-03-25,53,3.0,,0.03,1.5899999999999999
2020-03-26,47,3.0,,0.03,1.41
2020-03-27,44,3.0,,0.03,1.3199999999999998
2020-03-28,47,3.0,,0.03,1.41
2020-03-29,45,3.0,False,0.03,1.3499999999999999
2020-03-30,45,3.0,,0.03,1.3499999999999999
2020-03-31,46,3.0,,0.03,1.38
2020-04-01,81,3.0,,0.03,2.4299999999999997
2020-04-02,83,3.0,,0.03,2.4899999999999998
2020-04-03,70,3.0,,0.03,2.1
2020-04-04,98,3.0,,0.03,2.94
2020-04-05,75,3.0,False,0.03,2.25
2020-04-06,72,3.0,,0.03,2.16
2020-04-07,97,3.0,,0.03,2.9099999999999997
2020-04-08,100,3.0,,0.03,3.0
2020-04-09,78,3.0,,0.03,2.34
2020-04-10,79,3.0,,0.03,2.37
2020-04-11,85,3.0,,0.03,2.55
2020-04-12,66,3.0,False,0.03,1.98
2020-04-13,63,3.0,,0.03,1.89
2020-04-14,93,3.0,,0.03,2.79
2020-04-15,99,3.0,,0.03,2.9699999999999998
2020-04-16,82,3.0,,0.03,2.46
2020-04-17,84,3.0,,0.03,2.52
