date,ETH_unscaled,ETH_monthly,isPartial,scale,ETH
2020-01-01,55,,,,
2020-01-02,50,,,,
2020-01-03,59,,,,
2020-01-04,47,,,,
2020-01-05,58,5.0,False,0.05,2.9000000000000004
2020-01-06,69,5.0,,0.05,3.45
2020-01-07,64,5.0,,0.05,3.2
2020-01-08,74,5.0,,0.05,3.7
2020-01-09,51,5.0,,0.05,2.5500000000000003
2020-01-10,59,5.0,,0.05,2.95
2020-01-11,68,5.0,,0.05,3.4000000000000004
2020-01-12,53,7.0,False,0.07,3.7100000000000004
2020-01-13,61,7.0,,0.07,4.2700000000000005
2020-01-14,98,7.0,,0.07,6.86
2020-01-15,79,7.0,,0.07,5.53
2020-01-16,63,7.0,,0.07,4.41
2020-01-17,79,7.0,,0.07,5.53
2020-01-18,100,7.0,,0.07,7.000000000000001
2020-01-19,69,5.0,False,0.05,3.45
2020-01-20,51,5.0,,0.05,2.5500000000000003
2020-01-21,60,5.0,,0.05,3.0
2020-01-22,90,5.0,,0.05,4.5
2020-01-23,55,5.0,,0.05,2.75
2020-01-24,66,5.0,,0.05,3.3000000000000003
2020-01-25,52,5.0,,0.05,2.6
2020-01-26,48,6.0,False,0.06,2.88
2020-01-27,54,6.0,,0.06,3.2399999999999998
2020-01-28,67,6.0,,0.06,4.02
2020-01-29,66,6.0,,0.06,3.96
2020-01-30,90,6.0,,0.06,5.3999999999999995
2020-01-31,62,6.0,,0.06,3.7199999999999998
2020-02-01,45,6.0,,0.06,2.6999999999999997
2020-02-02,39,8.0,False,0.08,3.12
2020-02-03,58,8.0,,0.08,4.64
2020-02-04,56,8.0,,0.08,4.48
2020-02-05,63,8.0,,0.08,5.04
2020-02-06,71,8.0,,0.08,5.68
2020-02-07,76,8.0,,0.08,6.08
2020-02-08,70,8.0,,0.08,5.6000000000000005
2020-02-09,70,10.0,False,0.1,7.0
2020-02-10,66,10.0,,0.1,6.6000000000000005
2020-02-11,72,10.0,,0.1,7.2
2020-02-12,98,10.0,,0.1,9.8
2020-02-13,100,10.0,,0.1,10.0
2020-02-14,86,10.0,,0.1,8.6
2020-02-15,85,10.0,,0.1,8.5
2020-02-16,81,8.0,False,0.08,6.48
2020-02-17,69,8.0,,0.08,5.5200000000000005
2020-02-18,66,8.0,,0.08,5.28
2020-02-19,64,8.0,,0.08,5.12
2020-02-20,67,8.0,,0.08,5.36
2020-02-21,62,8.0,,0.08,4.96
2020-02-22,52,8.0,,0.08,4.16
2020-02-23,58,7.0,False,0.07,4.0600000000000005
2020-02-24,52,7.0,,0.07,3.6400000000000006
2020-02-25,61,7.0,,0.07,4.2700000000000005
2020-02-26,65,7.0,,0.07,4.550000000000001
2020-02-27,59,7.0,,0.07,4.130000000000001
2020-02-28,55,7.0,,0.07,3.8500000000000005
2020-02-29,56,7.0,,0.07,3.9200000000000004
2020-03-01,56,6.0,False,0.06,3.36
2020-03-02,47,6.0,,0.06,2.82
2020-03-03,55,6.0,,0.06,3.3
2020-03-04,47,6.0,,0.06,2.82
2020-03-05,52,6.0,,0.06,3.12
2020-03-06,34,6.0,,0.06,2.04
2020-03-07,46,6.0,,0.06,2.76
2020-03-08,60,8.0,False,0.08,4.8
2020-03-09,61,8.0,,0.08,4.88
2020-03-10,53,8.0,,0.08,4.24
2020-03-11,47,8.0,,0.08,3.7600000000000002
2020-03-12,66,8.0,,0.08,5.28
2020-03-13,100,8.0,,0.08,8.0
2020-03-14,65,8.0,,0.08,5.2
2020-03-15,44,6.0,False,0.06,2.6399999999999997
2020-03-16,59,6.0,,0.06,3.54
2020-03-17,48,6.0,,0.06,2.88
2020-03-18,56,6.0,,0.06,3.36
2020-03-19,57,6.0,,0.06,3.42
2020-03-20,50,6.0,,0.06,3.0
2020-03-21,30,6.0,,0.06,1.7999999999999998
2020-03-22,41,5.0,False,0.05,2.0500000000000003
2020-03-23,40,5.0,,0.05,2.0
2020-03-24,46,5.0,,0.05,2.3000000000000003
2020-03-25,37,5.0,,0.05,1.85
2020-03-26,51,5.0,,0.05,2.5500000000000003
2020-03-27,35,5.0,,0.05,1.75
2020-03-28,40,5.0,,0.05,2.0
2020-03-29,34,5.0,False,0.05,1.7000000000000002
2020-03-30,38,5.0,,0.05,1.9000000000000001
2020-03-31,39,5.0,,0.05,1.9500000000000002
2020-04-01,52,5.0,,0.05,2.6
2020-04-02,52,5.0,,0.05,2.6
2020-04-03,43,5.0,,0.05,2.15
2020-04-04,53,5.0,,0.05,2.6500000000000004
2020-04-05,58,6.0,False,0.06,3.48
2020-04-06,46,6.0,,0.06,2.76
2020-04-07,73,6.0,,0.06,4.38
2020-04-08,69,6.0,,0.06,4.14
2020-04-09,54,6.0,,0.06,3.2399999999999998
2020-04-10,69,6.0,,0.06,4.14
2020-04-11,63,6.0,,0.06,3.78
2020-04-12,59,6.0,False,0.06,3.54
2020-04-13,36,6.0,,0.06,2.16
2020-04-14,52,6.0,,0.06,3.12
2020-04-15,70,6.0,,0.06,4.2
2020-04-16,71,6.0,,0.06,4.26
2020-04-17,58,6.0,,0.06,3.48
2020-04-18,84,6.0,,0.06,5.04
2020-04-19,77,6.0,False,0.06,4.62
2020-04-20,68,6.0,,0.06,4.08
2020-04-21,64,6.0,,0.06,3.84
2020-04-22,61,6.0,,0.06,3.6599999999999997
2020-04-23,72,6.0,,0.06,4.32
2020-04-24,55,6.0,,0.06,3.3
2020-04-25,63,6.0,,0.06,3.78
2020-04-26,63,7.0,False,0.07,4.41
2020-04-27,49,7.0,,0.07,3.43
2020-04-28,68,7.0,,0.07,4.760000000000001
2020-04-29,100,7.0,,0.07,7.000000000000001
2020-04-30,85,7.0,,0.07,5.95
2020-05-01,79,7.0,,0.07,5.53
2020-05-02,72,7.0,,0.07,5.040000000000001
2020-05-03,72,7.0,False,0.07,5.040000000000001
2020-05-04,72,7.0,,0.07,5.040000000000001
2020-05-05,78,7.0,,0.07,5.460000000000001
2020-05-06,64,7.0,,0.07,4.48
2020-05-07,81,7.0,,0.07,5.670000000000001
2020-05-08,93,7.0,,0.07,6.510000000000001
2020-05-09,70,7.0,,0.07,4.9
2020-05-10,100,7.0,False,0.07,7.000000000000001
2020-05-11,82,7.0,,0.07,5.74
2020-05-12,72,7.0,,0.07,5.040000000000001
2020-05-13,56,7.0,,0.07,3.9200000000000004
2020-05-14,61,7.0,,0.07,4.2700000000000005
2020-05-15,62,7.0,,0.07,4.340000000000001
2020-05-16,64,7.0,,0.07,4.48
2020-05-17,64,7.0,False,0.07,4.48
2020-05-18,98,7.0,,0.07,6.86
2020-05-19,61,7.0,,0.07,4.2700000000000005
2020-05-20,79,7.0,,0.07,5.53
2020-05-21,93,7.0,,0.07,6.510000000000001
2020-05-22,74,7.0,,0.07,5.180000000000001
2020-05-23,69,7.0,,0.07,4.83
2020-05-24,73,7.0,False,0.07,5.11
2020-05-25,77,7.0,,0.07,5.390000000000001
2020-05-26,73,7.0,,0.07,5.11
2020-05-27,58,7.0,,0.07,4.0600000000000005
2020-05-28,79,7.0,,0.07,5.53
2020-05-29,66,7.0,,0.07,4.62
2020-05-30,67,7.0,,0.07,4.69
2020-05-31,92,7.0,False,0.07,6.44
2020-06-01,63,7.0,,0.07,4.41
2020-06-02,92,7.0,,0.07,6.44
2020-06-03,73,7.0,,0.07,5.11
2020-06-04,83,7.0,,0.07,5.8100000000000005
2020-06-05,80,7.0,,0.07,5.6000000000000005
2020-06-06,71,7.0,,0.07,4.970000000000001
2020-06-07,70,7.0,False,0.07,4.9
2020-06-08,76,7.0,,0.07,5.32
2020-06-09,76,7.0,,0.07,5.32
2020-06-10,100,7.0,,0.07,7.000000000000001
2020-06-11,79,7.0,,0.07,5.53
2020-06-12,89,7.0,,0.07,6.23
2020-06-13,58,7.0,,0.07,4.0600000000000005
2020-06-14,70,7.0,False,0.07,4.9
2020-06-15,83,7.0,,0.07,5.8100000000000005
2020-06-16,82,7.0,,0.07,5.74
2020-06-17,67,7.0,,0.07,4.69
2020-06-18,82,7.0,,0.07,5.74
2020-06-19,49,7.0,,0.07,3.43
2020-06-20,76,7.0,,0.07,5.32
2020-06-21,60,7.0,False,0.07,4.2
2020-06-22,83,7.0,,0.07,5.8100000000000005
2020-06-23,69,7.0,,0.07,4.83
2020-06-24,71,7.0,,0.07,4.970000000000001
2020-06-25,59,7.0,,0.07,4.130000000000001
2020-06-26,80,7.0,,0.07,5.6000000000000005
2020-06-27,87,7.0,,0.07,6.090000000000001
2020-06-28,71,6.0,False,0.06,4.26
