date,SHIB_unscaled,SHIB_monthly,isPartial,scale,SHIB
2020-01-01,100,,,,
2020-01-02,44,,,,
2020-01-03,21,,,,
2020-01-04,0,,,,
2020-01-05,24,0.0,False,0.0,0.0
2020-01-06,0,0.0,,0.0,0.0
2020-01-07,21,0.0,,0.0,0.0
2020-01-08,41,0.0,,0.0,0.0
2020-01-09,21,0.0,,0.0,0.0
2020-01-10,21,0.0,,0.0,0.0
2020-01-11,24,0.0,,0.0,0.0
2020-01-12,46,0.0,False,0.0,0.0
2020-01-13,19,0.0,,0.0,0.0
2020-01-14,36,0.0,,0.0,0.0
2020-01-15,20,0.0,,0.0,0.0
2020-01-16,20,0.0,,0.0,0.0
2020-01-17,21,0.0,,0.0,0.0
2020-01-18,24,0.0,,0.0,0.0
2020-01-19,0,0.0,False,0.0,0.0
2020-01-20,64,0.0,,0.0,0.0
2020-01-21,20,0.0,,0.0,0.0
2020-01-22,62,0.0,,0.0,0.0
2020-01-23,0,0.0,,0.0,0.0
2020-01-24,21,0.0,,0.0,0.0
2020-01-25,24,0.0,,0.0,0.0
2020-01-26,88,0.0,False,0.0,0.0
2020-01-27,39,0.0,,0.0,0.0
2020-01-28,40,0.0,,0.0,0.0
2020-01-29,21,0.0,,0.0,0.0
2020-01-30,0,0.0,,0.0,0.0
2020-01-31,21,0.0,,0.0,0.0
2020-02-01,0,0.0,,0.0,0.0
2020-02-02,20,0.0,False,0.0,0.0
2020-02-03,16,0.0,,0.0,0.0
2020-02-04,0,0.0,,0.0,0.0
2020-02-05,0,0.0,,0.0,0.0
2020-02-06,17,0.0,,0.0,0.0
2020-02-07,35,0.0,,0.0,0.0
2020-02-08,0,0.0,,0.0,0.0
2020-02-09,20,0.0,False,0.0,0.0
2020-02-10,16,0.0,,0.0,0.0
2020-02-11,0,0.0,,0.0,0.0
2020-02-12,50,0.0,,0.0,0.0
2020-02-13,0,0.0,,0.0,0.0
2020-02-14,35,0.0,,0.0,0.0
2020-02-15,0,0.0,,0.0,0.0
2020-02-16,0,0.0,False,0.0,0.0
2020-02-17,35,0.0,,0.0,0.0
2020-02-18,16,0.0,,0.0,0.0
2020-02-19,33,0.0,,0.0,0.0
2020-02-20,32,0.0,,0.0,0.0
2020-02-21,100,0.0,,0.0,0.0
2020-02-22,39,0.0,,0.0,0.0
2020-02-23,38,0.0,False,0.0,0.0
2020-02-24,0,0.0,,0.0,0.0
2020-02-25,0,0.0,,0.0,0.0
2020-02-26,16,0.0,,0.0,0.0
2020-02-27,0,0.0,,0.0,0.0
2020-02-28,0,0.0,,0.0,0.0
2020-02-29,0,0.0,,0.0,0.0
2020-03-01,53,0.0,False,0.0,0.0
2020-03-02,89,0.0,,0.0,0.0
2020-03-03,45,0.0,,0.0,0.0
2020-03-04,0,0.0,,0.0,0.0
2020-03-05,0,0.0,,0.0,0.0
2020-03-06,23,0.0,,0.0,0.0
2020-03-07,0,0.0,,0.0,0.0
2020-03-08,54,0.0,False,0.0,0.0
2020-03-09,67,0.0,,0.0,0.0
2020-03-10,22,0.0,,0.0,0.0
2020-03-11,22,0.0,,0.0,0.0
2020-03-12,22,0.0,,0.0,0.0
2020-03-13,0,0.0,,0.0,0.0
2020-03-14,0,0.0,,0.0,0.0
2020-03-15,26,0.0,False,0.0,0.0
2020-03-16,0,0.0,,0.0,0.0
2020-03-17,44,0.0,,0.0,0.0
2020-03-18,0,0.0,,0.0,0.0
2020-03-19,22,0.0,,0.0,0.0
2020-03-20,44,0.0,,0.0,0.0
2020-03-21,100,0.0,,0.0,0.0
2020-03-22,50,0.0,False,0.0,0.0
2020-03-23,21,0.0,,0.0,0.0
2020-03-24,22,0.0,,0.0,0.0
2020-03-25,0,0.0,,0.0,0.0
2020-03-26,22,0.0,,0.0,0.0
2020-03-27,21,0.0,,0.0,0.0
2020-03-28,24,0.0,,0.0,0.0
2020-03-29,25,0.0,False,0.0,0.0
2020-03-30,63,0.0,,0.0,0.0
2020-03-31,21,0.0,,0.0,0.0
2020-04-01,0,0.0,,0.0,0.0
2020-04-02,44,0.0,,0.0,0.0
2020-04-03,22,0.0,,0.0,0.0
