date,XRP_unscaled,XRP_monthly,isPartial,scale,XRP
2020-01-01,53,,,,
2020-01-02,63,,,,
2020-01-03,53,,,,
2020-01-04,44,,,,
2020-01-05,44,8.0,False,0.08,3.52
2020-01-06,100,8.0,,0.08,8.0
2020-01-07,94,8.0,,0.08,7.5200000000000005
2020-01-08,76,8.0,,0.08,6.08
2020-01-09,63,8.0,,0.08,5.04
2020-01-10,47,8.0,,0.08,3.7600000000000002
2020-01-11,68,8.0,,0.08,5.44
2020-01-12,45,8.0,False,0.08,3.6
2020-01-13,59,8.0,,0.08,4.72
2020-01-14,92,8.0,,0.08,7.36
2020-01-15,98,8.0,,0.08,7.84
2020-01-16,74,8.0,,0.08,5.92
2020-01-17,62,8.0,,0.08,4.96
2020-01-18,82,8.0,,0.08,6.5600000000000005
2020-01-19,68,7.0,False,0.07,4.760000000000001
2020-01-20,75,7.0,,0.07,5.250000000000001
2020-01-21,92,7.0,,0.07,6.44
2020-01-22,73,7.0,,0.07,5.11
2020-01-23,67,7.0,,0.07,4.69
2020-01-24,61,7.0,,0.07,4.2700000000000005
2020-01-25,46,7.0,,0.07,3.22
2020-01-26,51,8.0,False,0.08,4.08
2020-01-27,62,8.0,,0.08,4.96
2020-01-28,80,8.0,,0.08,6.4
2020-01-29,75,8.0,,0.08,6.0
2020-01-30,85,8.0,,0.08,6.8
2020-01-31,89,8.0,,0.08,7.12
2020-02-01,41,8.0,,0.08,3.2800000000000002
2020-02-02,43,12.0,False,0.12,5.16
2020-02-03,49,12.0,,0.12,5.88
2020-02-04,62,12.0,,0.12,7.4399999999999995
2020-02-05,81,12.0,,0.12,9.719999999999999
2020-02-06,66,12.0,,0.12,7.92
2020-02-07,61,12.0,,0.12,7.319999999999999
2020-02-08,48,12.0,,0.12,5.76
2020-02-09,53,13.0,False,0.13,6.890000000000001
2020-02-10,47,13.0,,0.13,6.11
2020-02-11,51,13.0,,0.13,6.63
2020-02-12,71,13.0,,0.13,9.23
2020-02-13,100,13.0,,0.13,13.0
2020-02-14,79,13.0,,0.13,10.27
2020-02-15,69,13.0,,0.13,8.97
2020-02-16,55,11.0,False,0.11,6.05
2020-02-17,56,11.0,,0.11,6.16
2020-02-18,65,11.0,,0.11,7.15
2020-02-19,58,11.0,,0.11,6.38
2020-02-20,58,11.0,,0.11,6.38
2020-02-21,47,11.0,,0.11,5.17
2020-02-22,38,11.0,,0.11,4.18
2020-02-23,41,8.0,False,0.08,3.2800000000000002
2020-02-24,42,8.0,,0.08,3.36
2020-02-25,42,8.0,,0.08,3.36
2020-02-26,52,8.0,,0.08,4.16
2020-02-27,47,8.0,,0.08,3.7600000000000002
2020-02-28,45,8.0,,0.08,3.6
2020-02-29,36,8.0,,0.08,2.88
2020-03-01,55,6.0,False,0.06,3.3
2020-03-02,62,6.0,,0.06,3.7199999999999998
2020-03-03,56,6.0,,0.06,3.36
2020-03-04,41,6.0,,0.06,2.46
2020-03-05,48,6.0,,0.06,2.88
2020-03-06,63,6.0,,0.06,3.78
2020-03-07,52,6.0,,0.06,3.12
2020-03-08,56,9.0,False,0.09,5.04
2020-03-09,67,9.0,,0.09,6.029999999999999
2020-03-10,60,9.0,,0.09,5.3999999999999995
2020-03-11,58,9.0,,0.09,5.22
2020-03-12,96,9.0,,0.09,8.64
2020-03-13,98,9.0,,0.09,8.82
2020-03-14,74,9.0,,0.09,6.66
2020-03-15,69,9.0,False,0.09,6.21
2020-03-16,81,9.0,,0.09,7.29
2020-03-17,73,9.0,,0.09,6.569999999999999
2020-03-18,59,9.0,,0.09,5.31
2020-03-19,82,9.0,,0.09,7.38
2020-03-20,65,9.0,,0.09,5.85
2020-03-21,60,9.0,,0.09,5.3999999999999995
2020-03-22,51,8.0,False,0.08,4.08
2020-03-23,63,8.0,,0.08,5.04
2020-03-24,79,8.0,,0.08,6.32
2020-03-25,59,8.0,,0.08,4.72
2020-03-26,64,8.0,,0.08,5.12
2020-03-27,100,8.0,,0.08,8.0
2020-03-28,67,8.0,,0.08,5.36
2020-03-29,55,7.0,False,0.07,3.8500000000000005
2020-03-30,74,7.0,,0.07,5.180000000000001
2020-03-31,67,7.0,,0.07,4.69
2020-04-01,55,7.0,,0.07,3.8500000000000005
2020-04-02,52,7.0,,0.07,3.6400000000000006
2020-04-03,57,7.0,,0.07,3.99
2020-04-04,42,7.0,,0.07,2.9400000000000004
2020-04-05,55,8.0,False,0.08,4.4
2020-04-06,70,8.0,,0.08,5.6000000000000005
2020-04-07,64,8.0,,0.08,5.12
2020-04-08,63,8.0,,0.08,5.04
2020-04-09,70,8.0,,0.08,5.6000000000000005
2020-04-10,59,8.0,,0.08,4.72
2020-04-11,57,8.0,,0.08,4.5600000000000005
2020-04-12,69,7.0,False,0.07,4.83
2020-04-13,59,7.0,,0.07,4.130000000000001
2020-04-14,59,7.0,,0.07,4.130000000000001
2020-04-15,51,7.0,,0.07,3.5700000000000003
2020-04-16,51,7.0,,0.07,3.5700000000000003
2020-04-17,56,7.0,,0.07,3.9200000000000004
2020-04-18,63,7.0,,0.07,4.41
2020-04-19,57,7.0,False,0.07,3.99
2020-04-20,51,7.0,,0.07,3.5700000000000003
2020-04-21,50,7.0,,0.07,3.5000000000000004
2020-04-22,53,7.0,,0.07,3.7100000000000004
2020-04-23,62,7.0,,0.07,4.340000000000001
2020-04-24,55,7.0,,0.07,3.8500000000000005
2020-04-25,55,7.0,,0.07,3.8500000000000005
2020-04-26,51,9.0,False,0.09,4.59
2020-04-27,53,9.0,,0.09,4.77
2020-04-28,73,9.0,,0.09,6.569999999999999
2020-04-29,100,9.0,,0.09,9.0
2020-04-30,78,9.0,,0.09,7.02
2020-05-01,100,9.0,,0.09,9.0
2020-05-02,84,9.0,,0.09,7.56
2020-05-03,95,8.0,False,0.08,7.6000000000000005
2020-05-04,80,8.0,,0.08,6.4
2020-05-05,82,8.0,,0.08,6.5600000000000005
2020-05-06,96,8.0,,0.08,7.68
2020-05-07,100,8.0,,0.08,8.0
2020-05-08,100,8.0,,0.08,8.0
2020-05-09,96,8.0,,0.08,7.68
2020-05-10,92,7.0,False,0.07,6.44
2020-05-11,89,7.0,,0.07,6.23
2020-05-12,86,7.0,,0.07,6.0200000000000005
2020-05-13,95,7.0,,0.07,6.65
2020-05-14,76,7.0,,0.07,5.32
2020-05-15,77,7.0,,0.07,5.390000000000001
2020-05-16,75,7.0,,0.07,5.250000000000001
2020-05-17,84,7.0,False,0.07,5.880000000000001
2020-05-18,96,7.0,,0.07,6.720000000000001
2020-05-19,74,7.0,,0.07,5.180000000000001
2020-05-20,84,7.0,,0.07,5.880000000000001
2020-05-21,88,7.0,,0.07,6.16
2020-05-22,78,7.0,,0.07,5.460000000000001
2020-05-23,77,7.0,,0.07,5.390000000000001
2020-05-24,69,6.0,False,0.06,4.14
2020-05-25,80,6.0,,0.06,4.8
2020-05-26,75,6.0,,0.06,4.5
2020-05-27,78,6.0,,0.06,4.68
2020-05-28,69,6.0,,0.06,4.14
2020-05-29,64,6.0,,0.06,3.84
2020-05-30,60,6.0,,0.06,3.5999999999999996
2020-05-31,65,6.0,False,0.06,3.9
2020-06-01,84,6.0,,0.06,5.04
2020-06-02,100,6.0,,0.06,6.0
2020-06-03,79,6.0,,0.06,4.74
2020-06-04,80,6.0,,0.06,4.8
2020-06-05,78,6.0,,0.06,4.68
2020-06-06,62,6.0,,0.06,3.7199999999999998
2020-06-07,63,6.0,False,0.06,3.78
