Date,Price,Open,High,Low,Vol.,Change %
Jun 04 2022,1763.61,1775.28,1779.70,1748.89,591.51K,-0.66%
Jun 03 2022,1775.29,1834.66,1843.31,1740.83,884.53K,-3.24%
Jun 02 2022,1834.64,1817.98,1851.25,1784.23,975.53K,0.91%
Jun 01 2022,1818.07,1941.81,1971.22,1770.85,1.29M,-6.37%
May 31 2022,1941.79,1998.46,2015.02,1928.93,933.24K,-2.84%
May 30 2022,1998.46,1813.56,2009.95,1804.33,1.04M,10.20%
May 29 2022,1813.56,1792.25,1824.81,1764.72,554.58K,1.16%
May 28 2022,1792.68,1724.67,1807.79,1722.88,658.23K,3.97%
May 27 2022,1724.30,1793.19,1820.82,1708.62,1.57M,-3.85%
May 26 2022,1793.42,1942.89,1964.91,1744.12,1.42M,-7.69%
May 25 2022,1942.91,1979.40,2020.64,1937.52,639.93K,-1.84%
May 24 2022,1979.35,1973.01,1992.60,1914.48,620.41K,0.33%
May 23 2022,1972.93,2043.19,2086.21,1959.57,738.09K,-3.44%
May 22 2022,2043.19,1975.12,2055.15,1966.34,425.98K,3.45%
May 21 2022,1975.12,1959.79,1989.44,1940.59,292.47K,0.78%
May 20 2022,1959.85,2019.36,2061.08,1923.86,699.69K,-2.95%
May 19 2022,2019.34,1913.99,2039.71,1903.67,858.97K,5.61%
May 18 2022,1912.12,2091.05,2108.84,1909.56,751.82K,-8.56%
May 17 2022,2091.14,2023.00,2120.03,2008.84,736.63K,3.37%
May 16 2022,2022.93,2145.86,2145.86,1979.93,950.85K,-5.73%
May 15 2022,2145.86,2056.33,2161.78,2001.74,589.77K,4.36%
May 14 2022,2056.30,2009.55,2068.66,1952.07,656.94K,2.33%
May 13 2022,2009.53,1955.59,2146.22,1941.53,1.34M,2.77%
May 12 2022,1955.36,2087.17,2190.51,1796.24,2.84M,-6.03%
May 11 2022,2080.79,2342.27,2451.33,2007.57,2.70M,-11.16%
May 10 2022,2342.30,2229.69,2455.19,2202.02,1.95M,5.08%
May 09 2022,2229.10,2519.98,2529.35,2228.90,1.93M,-11.54%
May 08 2022,2519.98,2636.03,2641.84,2492.59,925.40K,-4.40%
May 07 2022,2636.03,2692.92,2703.11,2589.29,458.05K,-2.11%
May 06 2022,2692.88,2747.60,2757.14,2635.85,881.18K,-1.99%
May 05 2022,2747.46,2940.70,2952.84,2730.95,899.82K,-6.57%
May 04 2022,2940.70,2781.47,2963.54,2773.90,662.07K,5.72%
May 03 2022,2781.47,2856.01,2861.42,2757.36,447.80K,-2.61%
May 02 2022,2856.01,2825.65,2879.99,2780.08,617.74K,1.07%
May 01 2022,2825.80,2727.20,2847.02,2720.57,512.01K,3.62%
Apr 30 2022,2727.18,2817.14,2841.16,2716.31,430.98K,-3.18%
Apr 29 2022,2816.66,2937.01,2946.18,2778.33,629.56K,-4.10%
Apr 28 2022,2937.01,2889.01,2977.78,2856.42,726.03K,1.66%
Apr 27 2022,2888.99,2810.42,2916.39,2795.58,602.24K,2.80%
Apr 26 2022,2810.42,3006.04,3032.70,2768.38,694.46K,-6.51%
Apr 25 2022,3006.04,2922.03,3023.23,2800.21,807.69K,2.88%
Apr 24 2022,2922.03,2931.90,2966.94,2915.66,269.29K,-0.34%
Apr 23 2022,2931.90,2963.00,2977.45,2917.84,227.07K,-1.05%
Apr 22 2022,2963.00,2983.91,3029.14,2937.47,544.89K,-0.70%
Apr 21 2022,2983.95,3076.06,3176.69,2950.97,675.44K,-3.00%
Apr 20 2022,3076.38,3101.79,3161.90,3037.67,512.72K,-0.83%
Apr 19 2022,3102.01,3055.86,3128.86,3030.32,427.14K,1.52%
Apr 18 2022,3055.64,2989.05,3069.07,2887.25,681.76K,2.23%
Apr 17 2022,2989.05,3058.96,3081.14,2983.17,311.54K,-2.29%
Apr 16 2022,3058.96,3042.01,3084.84,3011.47,245.47K,0.56%
Apr 15 2022,3042.01,3021.93,3056.84,2996.62,309.95K,0.66%
Apr 14 2022,3021.93,3117.21,3143.18,2980.84,546.54K,-3.05%
Apr 13 2022,3116.92,3027.64,3128.20,2999.66,563.89K,2.96%
Apr 12 2022,3027.25,2978.45,3082.02,2951.80,790.54K,1.64%
Apr 11 2022,2978.29,3201.99,3213.52,2953.66,876.67K,-6.98%
Apr 10 2022,3201.84,3259.59,3306.14,3198.10,327.86K,-1.76%
Apr 09 2022,3259.35,3193.54,3268.18,3182.10,283.24K,2.05%
Apr 08 2022,3193.93,3228.83,3311.42,3174.14,654.82K,-1.08%
Apr 07 2022,3228.84,3169.58,3268.56,3143.96,569.39K,1.87%
Apr 06 2022,3169.58,3406.83,3406.87,3164.24,950.59K,-6.96%
Apr 05 2022,3406.78,3520.35,3554.54,3400.74,500.27K,-3.23%
Apr 04 2022,3520.41,3521.16,3544.92,3412.01,547.68K,-0.02%
Apr 03 2022,3521.10,3442.34,3579.82,3414.40,473.54K,2.29%
Apr 02 2022,3442.34,3456.18,3529.63,3436.79,629.29K,-0.40%
Apr 01 2022,3456.18,3282.33,3478.74,3215.33,649.92K,5.30%
Mar 31 2022,3282.35,3385.60,3444.43,3263.36,545.44K,-3.05%
Mar 30 2022,3385.64,3401.86,3445.98,3333.50,425.38K,-0.48%
Mar 29 2022,3401.89,3329.67,3481.23,3329.67,570.03K,2.18%
Mar 28 2022,3329.38,3295.73,3428.41,3275.32,628.91K,0.98%
Mar 27 2022,3297.04,3145.95,3297.40,3126.46,402.02K,4.80%
Mar 26 2022,3146.01,3103.43,3150.09,3085.80,244.28K,1.37%
Mar 25 2022,3103.51,3110.80,3192.73,3081.71,583.25K,-0.18%
Mar 24 2022,3109.25,3036.18,3126.37,3005.99,699.58K,2.41%
Mar 23 2022,3036.12,2969.64,3042.28,2925.78,536.63K,2.24%
Mar 22 2022,2969.64,2891.41,3048.32,2887.69,716.47K,2.70%
Mar 21 2022,2891.63,2861.66,2960.42,2830.38,546.61K,1.05%
Mar 20 2022,2861.69,2950.03,2962.19,2819.27,436.11K,-2.99%
Mar 19 2022,2949.92,2939.76,2984.00,2895.30,392.64K,0.35%
Mar 18 2022,2939.76,2812.29,2983.11,2768.65,1.59B,4.53%
Mar 17 2022,2812.29,2773.80,2832.61,2747.06,1.06B,1.38%
Mar 16 2022,2773.94,2617.43,2787.12,2603.80,1.79B,5.98%
Mar 15 2022,2617.43,2589.54,2667.61,2510.75,1.19B,1.09%
Mar 14 2022,2589.30,2516.75,2608.68,2500.12,991.82M,2.88%
Mar 13 2022,2516.75,2569.80,2600.65,2494.59,811.55M,-2.06%
Mar 12 2022,2569.80,2556.96,2612.33,2555.85,567.25M,0.50%
Mar 11 2022,2556.96,2606.50,2670.05,2525.20,1.28B,-1.90%
Mar 10 2022,2606.50,2726.94,2731.37,2559.90,1.46B,-4.42%
Mar 09 2022,2726.94,2577.21,2772.09,2569.13,1.52B,5.81%
Mar 08 2022,2577.21,2492.53,2623.99,2483.29,1.44B,3.40%
Mar 07 2022,2492.53,2549.40,2645.41,2447.74,1.58B,-2.23%
Mar 06 2022,2549.40,2665.42,2673.19,2542.19,881.09M,-4.35%
Mar 05 2022,2665.42,2622.15,2684.50,2592.07,709.87M,1.65%
Mar 04 2022,2622.15,2834.78,2835.94,2575.63,1.50B,-7.50%
Mar 03 2022,2834.91,2947.03,2967.90,2789.87,521.36K,-3.81%
Mar 02 2022,2947.14,2975.80,3041.84,2914.70,740.37K,-0.96%
Mar 01 2022,2975.81,2922.44,3036.59,2858.54,828.62K,1.82%
Feb 28 2022,2922.50,2616.34,2949.44,2574.12,899.19K,11.70%
Feb 27 2022,2616.34,2779.55,2834.61,2562.94,804.74K,-5.78%
Feb 26 2022,2776.96,2767.58,2856.01,2734.56,520.44K,0.34%
Feb 25 2022,2767.53,2596.52,2830.31,2573.39,828.87K,6.59%
Feb 24 2022,2596.52,2578.54,2732.02,2303.07,1.85M,0.71%
Feb 23 2022,2578.15,2637.38,2749.80,2578.15,636.50K,-2.20%
Feb 22 2022,2636.13,2569.19,2663.01,2501.40,841.13K,2.58%
Feb 21 2022,2569.87,2619.32,2755.58,2560.24,996.71K,-1.89%
Feb 20 2022,2619.32,2763.97,2764.46,2577.52,508.49K,-5.23%
Feb 19 2022,2763.81,2779.44,2829.20,2699.70,377.08K,-0.57%
