DATE,종가,오픈,고가,저가,거래량,변동 %
2022-06-03,1850.20,1872.60,1878.60,1849.70,-,-1.13%
2022-06-02,1871.40,1849.90,1874.40,1846.50,127.47K,1.23%
2022-06-01,1848.70,1840.00,1853.00,1830.20,158.04K,0.02%
2022-05-31,1848.40,1856.50,1867.90,1837.60,201.80K,-0.38%
2022-05-30,1855.40,1847.79,1862.10,1846.54,-,0.42%
2022-05-29,1847.65,1850.55,1851.76,1845.90,-,-0.52%
2022-05-27,1857.30,1855.10,1866.90,1851.90,123.76K,0.18%
2022-05-26,1853.90,1857.90,1859.00,1842.50,92.09K,0.08%
2022-05-25,1852.50,1871.20,1872.70,1845.00,99.60K,-1.01%
2022-05-24,1871.40,1858.60,1875.00,1853.90,76.58K,0.94%
2022-05-23,1853.90,1850.90,1870.40,1849.70,62.66K,0.30%
2022-05-20,1848.40,1847.40,1854.00,1837.30,42.70K,0.03%
2022-05-19,1847.80,1821.30,1854.50,1814.90,38.86K,1.39%
2022-05-18,1822.40,1820.20,1829.30,1811.70,40.54K,-0.16%
2022-05-17,1825.40,1831.70,1840.90,1817.80,27.00K,0.27%
2022-05-16,1820.40,1816.00,1832.40,1792.00,27.77K,0.31%
2022-05-13,1814.80,1828.10,1834.20,1804.00,21.40K,-0.92%
2022-05-12,1831.60,1858.80,1865.80,1827.20,71.42K,-1.58%
2022-05-11,1861.00,1844.90,1864.50,1838.00,60.05K,0.68%
2022-05-10,1848.40,1860.30,1871.60,1841.90,90.25K,-0.94%
2022-05-09,1865.90,1890.90,1891.80,1858.60,71.72K,-1.29%
2022-05-06,1890.20,1884.50,1900.80,1872.40,52.58K,0.38%
2022-05-05,1883.00,1891.30,1917.60,1879.60,28.69K,0.36%
2022-05-04,1876.20,1876.10,1898.80,1868.80,29.35K,-0.09%
2022-05-03,1877.80,1870.40,1885.00,1856.70,24.90K,0.38%
2022-05-02,1870.60,1903.10,1907.40,1860.80,9.78K,-2.50%
2022-04-29,1918.60,1902.50,1928.20,1900.60,7.74K,1.07%
2022-04-28,1898.30,1893.00,1904.30,1877.80,6.72K,0.14%
2022-04-27,1895.60,1914.00,1914.80,1888.80,5.84K,-0.81%
2022-04-26,1911.10,1907.30,1918.70,1904.20,8.90K,0.43%
2022-04-25,1903.00,1937.40,1942.60,1898.80,17.15K,-1.98%
2022-04-22,1941.40,1960.00,1964.50,1935.00,12.26K,-0.70%
2022-04-21,1955.00,1964.20,1966.20,1944.80,11.80K,-0.37%
2022-04-20,1962.30,1959.00,1967.30,1947.80,5.75K,-0.18%
2022-04-19,1965.80,1987.80,1991.60,1952.80,5.38K,-1.38%
2022-04-18,1993.30,1983.10,2009.50,1981.80,1.60K,0.59%
2022-04-14,1981.60,1988.70,1990.60,1969.60,3.13K,-0.50%
2022-04-13,1991.50,1976.60,1992.20,1974.00,9.41K,0.43%
2022-04-12,1983.00,1965.00,1989.10,1960.40,9.08K,1.43%
2022-04-11,1955.00,1957.10,1981.20,1949.90,5.74K,0.14%
2022-04-08,1952.20,1941.40,1958.30,1937.70,6.83K,0.41%
2022-04-07,1944.20,1932.90,1948.00,1930.00,6.75K,0.77%
2022-04-06,1929.30,1933.40,1942.20,1922.30,3.99K,-0.22%
2022-04-05,1933.50,1941.50,1954.40,1927.20,4.70K,-0.32%
2022-04-04,1939.70,1933.50,1946.10,1924.00,2.95K,0.54%
2022-04-01,1929.20,1947.90,1949.50,1927.10,2.17K,-1.55%
2022-03-31,1959.50,1942.50,1960.40,1928.60,7.31K,0.79%
2022-03-30,1944.10,1930.00,1948.30,1925.40,3.76K,1.10%
2022-03-29,1923.00,1932.00,1937.50,1899.00,5.62K,-1.38%
2022-03-28,1949.90,1967.80,1968.30,1926.00,2.93K,-0.76%
2022-03-25,1964.90,1972.30,1974.00,1953.50,4.32K,-0.39%
2022-03-24,1972.60,1953.20,1977.20,1948.40,2.98K,1.31%
2022-03-23,1947.10,1930.30,1958.00,1925.90,3.80K,0.82%
2022-03-22,1931.20,1945.20,1948.50,1920.00,3.87K,-0.40%
2022-03-21,1939.00,1931.00,1951.20,1926.40,3.10K,0.06%
2022-03-18,1937.90,1950.70,1950.80,1926.80,3.62K,-0.73%
2022-03-17,1952.10,1934.50,1959.20,1933.90,2.27K,1.76%
2022-03-16,1918.30,1928.80,1938.30,1905.00,3.84K,-1.04%
2022-03-15,1938.50,1964.60,1964.60,1918.00,2.98K,-1.56%
2022-03-14,1969.30,1992.00,1995.00,1960.80,0.92K,-1.19%
2022-03-11,1993.10,2010.40,2010.40,1968.80,5.68K,-0.75%
2022-03-10,2008.20,2002.50,2021.00,1982.30,2.66K,0.67%
2022-03-09,1994.90,2057.80,2072.10,1988.00,3.11K,-2.68%
2022-03-08,2049.90,2008.30,2085.20,1998.60,3.54K,2.36%
