DATE,종가,오픈,고가,저가,거래량,변동 %
2022-06-03,12012.73,12097.12,12167.44,11966.62,837.59M,-2.47%
2022-06-02,12316.90,11945.57,12320.12,11901.45,916.66M,2.69%
2022-06-01,11994.46,12176.89,12237.93,11901.43,940.60M,-0.72%
2022-05-31,12081.39,12137.54,12190.08,11942.50,1.77B,-0.41%
2022-05-27,12131.13,11869.69,12131.66,11856.82,942.22M,3.33%
2022-05-26,11740.65,11409.84,11796.97,11406.16,930.42M,2.68%
2022-05-25,11434.74,11225.03,11511.90,11211.85,907.18M,1.51%
2022-05-24,11264.45,11326.44,11351.61,11092.48,924.23M,-2.35%
2022-05-23,11535.27,11396.28,11552.07,11304.56,889.21M,1.59%
2022-05-20,11354.62,11542.67,11552.21,11035.69,1.20B,-0.30%
2022-05-19,11388.50,11364.40,11562.82,11313.31,1.05B,-0.26%
2022-05-18,11418.15,11790.68,11826.22,11381.69,1.03B,-4.73%
2022-05-17,11984.52,11905.57,11988.43,11754.28,1.02B,2.76%
2022-05-16,11662.79,11727.14,11804.59,11627.53,978.06M,-1.20%
2022-05-13,11805.00,11555.98,11856.71,11510.25,1.23B,3.82%
2022-05-12,11370.96,11199.25,11547.33,11108.76,1.40B,0.06%
2022-05-11,11364.24,11645.57,11844.50,11339.18,1.27B,-3.18%
2022-05-10,11737.67,11900.34,11944.94,11566.28,1.28B,0.98%
2022-05-09,11623.25,11923.03,11990.61,11574.94,1.24B,-4.29%
2022-05-06,12144.66,12246.83,12358.42,11990.15,1.09B,-1.40%
2022-05-05,12317.69,12787.52,12787.52,12183.56,1.10B,-4.99%
2022-05-04,12964.86,12574.73,12985.01,12367.02,1.11B,3.19%
2022-05-03,12563.76,12511.46,12645.83,12460.99,897.83M,0.22%
2022-05-02,12536.02,12331.69,12542.54,12202.41,1.04B,1.63%
2022-04-29,12334.64,12710.42,12861.83,12315.74,1.09B,-4.17%
2022-04-28,12871.53,12712.86,12948.52,12487.86,1.01B,3.06%
2022-04-27,12488.93,12500.88,12703.79,12430.90,942.84M,-0.01%
2022-04-26,12490.74,12918.04,12918.04,12490.74,1.02B,-3.95%
2022-04-25,13004.85,12749.17,13011.45,12722.59,988.04M,1.29%
2022-04-22,12839.29,13168.80,13212.60,12828.02,950.70M,-2.55%
2022-04-21,13174.65,13623.70,13710.69,13140.83,993.83M,-2.07%
2022-04-20,13453.07,13665.38,13678.55,13426.12,871.26M,-1.22%
2022-04-19,13619.66,13312.44,13643.97,13281.22,855.29M,2.15%
2022-04-18,13332.36,13319.39,13414.27,13222.03,832.41M,-0.14%
2022-04-14,13351.08,13647.42,13662.93,13345.22,927.38M,-2.14%
2022-04-13,13643.59,13373.12,13679.43,13353.66,910.79M,2.03%
2022-04-12,13371.57,13584.69,13685.95,13317.74,902.42M,-0.30%
2022-04-11,13411.96,13547.29,13585.08,13401.39,991.30M,-2.18%
2022-04-08,13711.00,13830.47,13866.06,13693.69,858.45M,-1.34%
2022-04-07,13897.30,13861.49,13978.25,13689.23,931.35M,0.06%
2022-04-06,13888.82,14002.58,14032.84,13788.90,1.09B,-2.22%
2022-04-05,14204.17,14490.26,14500.29,14169.12,930.40M,-2.26%
2022-04-04,14532.55,14304.35,14534.38,14286.45,915.41M,1.90%
2022-04-01,14261.50,14269.53,14306.94,14131.81,1.02B,0.29%
2022-03-31,14220.52,14444.78,14456.74,14217.73,1.10B,-1.54%
2022-03-30,14442.27,14558.59,14609.25,14383.45,1.01B,-1.21%
2022-03-29,14619.64,14500.39,14646.90,14419.40,1.09B,1.84%
2022-03-28,14354.90,14177.21,14356.00,14101.34,892.94M,1.31%
2022-03-25,14169.30,14194.72,14218.76,14010.79,941.78M,-0.16%
2022-03-24,14191.84,14001.32,14193.55,13897.20,916.74M,1.93%
2022-03-23,13922.60,13990.35,14152.14,13921.65,961.73M,-1.32%
2022-03-22,14108.82,13866.43,14141.07,13857.29,1.10B,1.95%
2022-03-21,13838.46,13860.39,13945.81,13682.55,1.14B,-0.40%
2022-03-18,13893.84,13564.63,13899.28,13528.06,2.85B,2.05%
2022-03-17,13614.78,13360.72,13620.80,13317.14,1.14B,1.33%
2022-03-16,13436.55,13119.36,13440.12,12992.20,1.41B,3.77%
2022-03-15,12948.62,12685.23,12973.88,12616.59,1.13B,2.92%
2022-03-14,12581.22,12795.12,12918.01,12555.35,1.21B,-2.04%
2022-03-11,12843.81,13229.77,13239.35,12830.37,1.02B,-2.18%
2022-03-10,13129.96,13098.35,13163.50,12946.28,961.59M,-0.95%
2022-03-09,13255.55,13113.70,13301.16,13039.79,1.12B,3.59%
2022-03-08,12795.55,12800.04,13159.44,12670.08,1.34B,-0.28%
2022-03-07,12830.96,13328.36,13353.28,12828.02,1.29B,-3.62%
2022-03-04,13313.44,13455.23,13486.71,13224.98,1.04B,-1.66%
2022-03-03,13537.94,13837.59,13837.59,13472.64,1.03B,-1.56%
2022-03-02,13752.02,13597.53,13796.55,13493.91,1.03B,1.62%
2022-03-01,13532.46,13716.70,13777.04,13441.32,1.24B,-1.59%
2022-02-28,13751.40,13570.83,13810.64,13549.90,1.39B,0.41%
2022-02-25,13694.62,13485.26,13696.86,13358.29,978.45M,1.64%
