DATE,종가,오픈,고가,저가,거래량,변동 %
2020-01-01,0.013205,0.013301,0.013410,0.013149,4.02B,-0.72%
2020-01-02,0.012845,0.013205,0.013242,0.012809,5.07B,-2.73%
2020-01-03,0.013423,0.012845,0.013531,0.012698,7.43B,4.50%
2020-01-04,0.013431,0.013415,0.013488,0.013255,4.14B,0.06%
2020-01-05,0.013534,0.013433,0.013866,0.013430,5.25B,0.77%
2020-01-06,0.014671,0.013534,0.014683,0.013488,7.72B,8.40%
2020-01-07,0.014345,0.014661,0.014790,0.014059,7.34B,-2.22%
2020-01-08,0.014032,0.014341,0.014622,0.013786,7.20B,-2.18%
2020-01-09,0.013970,0.014032,0.014105,0.013722,4.79B,-0.44%
2020-01-10,0.014683,0.013970,0.014794,0.013676,6.02B,5.10%
2020-01-11,0.014604,0.014683,0.015051,0.014475,5.96B,-0.54%
2020-01-12,0.015025,0.014603,0.015057,0.014428,5.40B,2.88%
2020-01-13,0.014648,0.015024,0.015056,0.014552,4.29B,-2.51%
2020-01-14,0.016782,0.014645,0.017115,0.014641,9.49B,14.57%
2020-01-15,0.017295,0.016765,0.018164,0.016098,11.31B,3.06%
2020-01-16,0.017272,0.017322,0.017413,0.016122,8.53B,-0.14%
2020-01-17,0.017534,0.017225,0.018139,0.016930,9.51B,1.52%
2020-01-18,0.017647,0.017534,0.018155,0.017172,8.34B,0.65%
2020-01-19,0.016645,0.017646,0.018134,0.016008,8.28B,-5.68%
2020-01-20,0.016615,0.016671,0.016776,0.016113,5.62B,-0.18%
2020-01-21,0.017318,0.016612,0.017350,0.016539,5.82B,4.23%
2020-01-22,0.017424,0.017319,0.017549,0.017014,3.68B,0.61%
2020-01-23,0.016280,0.017417,0.017450,0.015867,7.20B,-6.56%
2020-01-24,0.016354,0.016280,0.016648,0.015620,7.63B,0.45%
2020-01-25,0.016079,0.016354,0.016395,0.015844,6.08B,-1.68%
2020-01-26,0.016857,0.016079,0.016893,0.015985,6.17B,4.83%
2020-01-27,0.017088,0.016858,0.017276,0.016746,7.43B,1.37%
